,artist,track,position,date
894,David Bowie With Queen Latifah,Smooth & Legit,23,1990-07-14
919,Digital Underground,La Raza,24,1990-07-21
941,Kid Frost,Banned In The U.S.A.,22,1990-07-28
943,Public Enemy,Brother's Gonna Work It Out,24,1990-07-28
959,Ice Cube,Treat Them Like They Want To Be. . .,16,1990-08-04
964,LL Cool J,(I Wanna) Make You Mine,21,1990-08-04
965,Three Times Dope,To Da Break Of Dawn,22,1990-08-04
966,M.C. Hammer,Weak At The Knees,23,1990-08-04
967,Def Dames,Have You Seen Her,24,1990-08-04
988,Ice Cube,Love's Gonna Get'cha (Material Love),21,1990-08-11
991,Public Enemy,Doowutchyalike,24,1990-08-11
1012,The UBC,Me And The Biz,21,1990-08-18
1014,Kool Moe Dee,Back To Basix,23,1990-08-18
1038,Kyper,Ruff Rhyme (Back Again),23,1990-08-25
1039,Mellow Man Ace,Tic-Tac-Toe,24,1990-08-25
1053,LL Cool J,The Boomin' System,14,1990-09-01
1060,Doc Box & B. Fresh,We Like It,21,1990-09-01
1061,King Tee,Slow Love,22,1990-09-01
1082,Doc Box & B. Fresh,Bonita Applebum,19,1990-09-08
1104,Vanilla Ice,Ice Ice Baby,17,1990-09-15
1109,Kool G Rap & D.J. Polo,Knockin' Boots,22,1990-09-15
1110,Above The Law,Streets Of New York,23,1990-09-15
1131,N.W.A.,100 Miles And Runnin',20,1990-09-22
1134,MC Lyte,Cappucino,23,1990-09-22
1136,Snap,Ooops Up,25,1990-09-22
1180,Professor Griff,The Verdict,19,1990-10-06
1183,The Jaz,The Originators,22,1990-10-06
1185,Red Bandit Feat. Ricky Bell,Ballad Of A Menace,24,1990-10-06
1201,Special Ed,The Mission,16,1990-10-13
1206,K-Solo,Your Mom's In My Business,21,1990-10-13
1207,Eric B. & Rakim,In The Ghetto,22,1990-10-13
1209,King Tee,Please Don't Cry,24,1990-10-13
1228,M.C. Hammer,Pray,19,1990-10-20
1232,Kid Sensation,Nod Your Head To This,23,1990-10-20
1233,Poor Righteous Teachers,Seatown Ballers,24,1990-10-20
1252,Monie Love,Monie In The Middle,19,1990-10-27
1253,Sir Mix-A-Lot,I Got Game,20,1990-10-27
1257,Cool C,Mama Juanita,24,1990-10-27
1275,Too $hort,The Ghetto,18,1990-11-03
1278,Cool C,Life In The Ghetto,21,1990-11-03
1280,Father M.C.,I'll Do 4 U,23,1990-11-03
1282,Compton's Most Wanted,I'm Wit Dat,25,1990-11-03
1303,Poor Righteous Teachers,Holy Intellect,21,1990-11-10
1304,Kwame & A New Beginning,Hai Love,22,1990-11-10
1305,Criminal Nation,Insane,23,1990-11-10
1306,Intelligent Hoodlum,Back To Reality,24,1990-11-10
1327,Cheba,The Piper,20,1990-11-17
1329,Big Daddy Kane,Cause I Can Do It Right,22,1990-11-17
1375,Yo-Yo,Stompin' In The 90's,18,1990-12-01
1378,Master Ace,Music Man,21,1990-12-01
1380,LL Cool J,Around The Way Girl,23,1990-12-01
1400,Terminator X,Wanna Be Dancin' (Buck-Whylin'),19,1990-12-08
1425,Sir Mix-A-Lot,What's It All About,20,1990-12-15
1448,Public Enemy,A Little Bit Of Dane Tonight,19,1990-12-22
1449,BWP,Can't Do Nuttin' For Ya Man,20,1990-12-22
1450,Sir Mix-A-Lot,Two Minute Brother,21,1990-12-22
1453,Luke Featuring The 2 Live Crew,Looking At The Front Door,24,1990-12-22
1491,EPMD,Gold Digger,14,1991-01-05
1500,Vanilla Ice,He's King Of The Hype,23,1991-01-05
1501,D-Nice,Play That Funky Music,24,1991-01-05
1521,Criminal Nation,The Devil Made Me Do It,20,1991-01-12
1524,2 Bigg M.C.,Treat 'Em Right,23,1991-01-12
1545,Paris,Melt In Your Mouth,20,1991-01-19
1548,A Tribe Called Quest,Crumbs On The Table,23,1991-01-19
1549,Brand Nubian,Can I Kick It?,24,1991-01-19
1571,Brand Nubian,Wake Up,22,1991-01-26
1591,Cheba,Keep Groovin',19,1991-02-02
1593,D-Nice,Something New,21,1991-02-02
1615,M.C. Hammer,Just To Get A Rep,20,1991-02-09
1616,Kool G Rap & D.J. Polo,Here Comes The Hammer,21,1991-02-09
1617,D-Nice,Erase Racism,22,1991-02-09
1637,Gerardo,Rico Suave,18,1991-02-16
1641,Poison Clan,Dance All Night,22,1991-02-16
1643,Special Ed,"Come On, Let's Move It",24,1991-02-16
1666,Salt-N-Pepa,Do You Want Me,23,1991-02-23
1667,Son Of Bazerk/No Self Control,Change The Style,24,1991-02-23
1668,2 Black 2 Strong MMG,Burn Baby Burn,25,1991-02-23
1690,The D.O.C.,Mind Blowin',22,1991-03-02
1692,K.M.D.,Peachfuzz,24,1991-03-02
1693,Monie Love Featuring True Image,It's A Shame (My Sister),25,1991-03-02
1715,ED O.G & DA Bulldogs,I Got To Have It,22,1991-03-09
1716,DJ Quik,Born And Raised In Compton,23,1991-03-09
1740,Kwame & A New Beginning,Oneovdabigboiz,22,1991-03-16
1741,Too $hort,Short But Funky,23,1991-03-16
1743,M.C. Jr. Cas,Wild Side,25,1991-03-16
1761,Nikki D,Daddy's Little Girl,18,1991-03-23
1765,Vicious Base Feat. D.J. Magic Mike,It's Automatic,22,1991-03-23
1789,Redhead Kingpin,All About Red,21,1991-03-30
1791,Ice-T,New Jack Hustler (Nino's Theme),23,1991-03-30
1793,Mario,Whip It Baby,25,1991-03-30
1809,LL Cool J,Mama Said Knock You Out,16,1991-04-06
1811,Gang Starr,Who's Gonna Take The Weight,18,1991-04-06
1842,Luke Featuring The 2 Live Crew,Do The Bart,24,1991-04-13
1843,EPMD Featuring L.L. Cool J,Rampage,25,1991-04-13
1862,Yo-Yo Featuring Ice Cube,You Can't Play With My Yo-Yo,19,1991-04-20
1865,Run-D.M.C.,Faces,22,1991-04-20
1866,ARB,Crank It Up,23,1991-04-20
1868,Leaders Of The New School,Case Of The P.T.A.,25,1991-04-20
1887,The Genius,Come Do Me,19,1991-04-27
1914,Terminator X,Homey Don't Play Dat,21,1991-05-04
1916,Hansoul,Imagination,23,1991-05-04
1917,K-Solo,Fugitive,24,1991-05-04
1918,K-9 Posse,Get Wild Go Crazy,25,1991-05-04
1936,Hansoul,Rise 'N' Shine,18,1991-05-11
1940,Salt-N-Pepa,Ring Ring Ring (Ha Ha Hey),22,1991-05-11
1942,K-9 Posse,U-R-Not The 1,24,1991-05-11
1966,Craig-G,Countdown,24,1991-05-18
1986,L.A. Posse,Follow 4 Now,20,1991-05-25
2006,Brand Nubian,"Larry, That's What They Call Me",17,1991-06-01
2007,Vicious Base Feat. D.J. Magic Mike,You Are My Heaven,18,1991-06-01
