,artist,track,position,date
4254,Monie Love,It Was A Good Day,15,1993-03-27
4260,Grand Puba,Down With The King,21,1993-03-27
4262,Kam,I Get Wrecked,23,1993-03-27
4263,Prince Markie Dee & Soul Convention,Peace Treaty,24,1993-03-27
4284,Kam,Typical Reasons,21,1993-04-03
4287,Heavy D & The Boyz,Love Me Or Leave Me Alone,24,1993-04-03
4305,Brand Nubian,How I'm Comin',18,1993-04-10
4307,Runaway Slaves,Bow Wow Wow,20,1993-04-10
4308,Snow,Booty Mission,21,1993-04-10
4310,Chaka Demus & Pliers,Tick Tock,23,1993-04-10
4329,Runaway Slaves,Roll Wit Tha Flavor,19,1993-04-17
4333,Trends Of Culture,Wreckx Shop,23,1993-04-17
4356,Boss,Off & On,23,1993-04-24
4375,Onyx,Deeper,19,1993-05-01
4377,Pete Rock & C.L. Smooth,Crewz Pop,21,1993-05-01
4378,C.E.B.,Lots Of Lovin,22,1993-05-01
4399,Geto Boys,Passin' Me By,19,1993-05-08
4401,Kenny Dope,Truthful,21,1993-05-08
4402,Onyx,Gunshot,22,1993-05-08
4424,Brand Nubian,We Getz Buzy,20,1993-05-15
4426,Geto Boys,Bounce Ta This,22,1993-05-15
4427,Super Cat,Six Feet Deep,23,1993-05-15
4428,Digable Planets,Dolly My Baby,24,1993-05-15
4447,Showbiz & A.G.,How U Get A Record Deal,19,1993-05-22
4450,Digable Planets,"Whoot, There It Is",22,1993-05-22
4451,Dr. Dre,Where I'm From,23,1993-05-22
4475,Mobb Deep,The Posse (Shoot'Em Up),23,1993-05-29
4476,Spice 1,Hit It From The Back,24,1993-05-29
4497,Onyx,Trigga Gots No Heart,21,1993-06-05
4498,Ice Cube,Slam,22,1993-06-05
4519,Mobb Deep,What'Cha Gonna Do?,19,1993-06-12
4524,Yo-Yo,Ain't No Crime,24,1993-06-12
4541,Yo-Yo,Dre Day,17,1993-06-19
4542,Mobb Deep,Bonnie & Clyde/IBWin' Wit My Crewin',18,1993-06-19
4544,Positive K,Reign Of The Tec,20,1993-06-19
4548,Ice Cube,Hittin' Switches,24,1993-06-19
4569,Rodney O & Joe Cooley,Humps For The Blvd.,21,1993-06-26
4571,Tag Team,40 Below Trooper/All I Think...,23,1993-06-26
4572,Lin Que,Whoomp! (There It Is),24,1993-06-26
4593,Lin Que,This Is It/Rip It Up,21,1993-07-03
4596,LL Cool J,Back Seat (Of My Jeep)/Pink Cookies...,24,1993-07-03
4597,Redman,Tonights Da Night,25,1993-07-03
4613,MC Lyte,Ruffneck,16,1993-07-10
4618,Cypress Hill,Insane In The Brain,21,1993-07-10
4620,Lords Of The Underground,Chief Rocka,23,1993-07-10
4621,General Grant,D-Shot Call,24,1993-07-10
4642,Biz Markie,Let Me Turn You On,20,1993-07-17
4646,2Pac,I Get Around,24,1993-07-17
4647,Kool G Rap & D.J. Polo,On The Run,25,1993-07-17
4668,Trique-Dik-Slik,Euphoria,21,1993-07-24
4671,Luke,Work It Out,24,1993-07-24
4672,Knucklehedz,All She Wanted/Hed Rush,25,1993-07-24
4695,M.C. Breed,Gotta Get Mine,23,1993-07-31
4696,Souls Of Mischief,That's When Ya Lost,24,1993-07-31
4697,Intelligent Hoodlum,Grand Groove/At Large,25,1993-07-31
4715,Kris Kross Featuring Supercat,Alright,18,1993-08-07
4718,Ice Cube Featuring Das EFX,Check Yo Self,21,1993-08-07
4720,Scarface,Let Me Roll,23,1993-08-07
4742,Mista Grimm,Indo Smoke,20,1993-08-14
4746,Boss,Recipe Of A Hoe,24,1993-08-14
4747,Fat Joe,Flow Joe,25,1993-08-14
4768,Wu-Tang Clan,Method Man,21,1993-08-21
4769,Poizon Posse,What's Up Doc?,22,1993-08-21
4770,Rumpletilskinz,This Is It Y'All,23,1993-08-21
4771,Rodney O & Joe Cooley,Attitudes,24,1993-08-21
4788,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",Very Special/Stop Shammin',17,1993-08-28
4794,Young Black Teenagers,Don't Give Me No Bammer,23,1993-08-28
4795,Biz Markie,Roll W/ The Flavor,24,1993-08-28
4811,Funkdoobiest,The Funkiest/Freak Mode,16,1993-09-04
4815,The Almighty RSO,Badd Boyz,20,1993-09-04
4819,Trends Of Culture,Valley Of The Skinz,24,1993-09-04
4840,Hoodratz,Bootlegga,20,1993-09-11
4841,Run-D.M.C.,"Ooh, Whatcha Gonna Do",21,1993-09-11
4843,Jazzy Jeff & The Fresh Prince,Boom! Shake The Room,23,1993-09-11
4844,Threat,Let The Dogs Loose,24,1993-09-11
4866,Common Sense,Soul By The Pound,21,1993-09-18
4870,Da Youngsta's,Iz U Wit Me,25,1993-09-18
4893,Onyx,Shifftee,23,1993-09-25
4894,Leaders Of The New School,What's Next?,24,1993-09-25
4918,Rumble,Safe/Booyaka! Booyaka!,23,1993-10-02
4919,Tha Alkaholiks,Make Room,24,1993-10-02
4937,Erick Sermon,Stay Real,17,1993-10-09
4941,De La Soul,Breakadawn,21,1993-10-09
4942,Dr. Dre,Let Me Ride,22,1993-10-09
4943,Private Investigators,Mash Up The Mic,23,1993-10-09
4944,KRS-One,Outta Here,24,1993-10-09
4965,George Clinton,Paint The White House Black,20,1993-10-16
4969,Poison Clan,Don't Sleep On A Hizzo,24,1993-10-16
4990,Nikki D,Freak Out,20,1993-10-23
4991,Salt-N-Pepa,Shoop,21,1993-10-23
4994,Souls Of Mischief,93 'til Infinity,24,1993-10-23
4995,Digable Planets,Nickel Bags,25,1993-10-23
5014,Biz Markie,Young Girl Bluez,19,1993-10-30
5015,Yo-Yo,Westside Story,20,1993-10-30
5016,Dred Scott,Nutin' Ta Lose,21,1993-10-30
5017,Hi-C,Got It Like That,22,1993-10-30
5020,Black Maddness,Wild Brooklyn Bandits,25,1993-10-30
5044,Casual,That's How It Is,24,1993-11-06
5064,Kris Kross,I'm Real,19,1993-11-13
5065,Shaquille O'Neal,(I Know I Got) Skillz,20,1993-11-13
5066,ED O.G & DA Bulldogs,Skinny Dip (Got It Goin' On),21,1993-11-13
5067,Daddy-O,Brooklyn Bounce,22,1993-11-13
5077,Eazy-E,Real Muthaphuckkin G's,7,1993-11-20
5086,A Tribe Called Quest,Award Tour,16,1993-11-20
5091,Das EFX,Freakit,21,1993-11-20
5093,2Pac,Keep Ya Head Up,23,1993-11-20
5094,LL Cool J,Stand By Your Man,24,1993-11-20
5095,Father,69,25,1993-11-20
5114,M.C. Breed,Tight,19,1993-11-27
5116,Patra (Featuring Lyn Collins),Think (About It),21,1993-11-27
5119,Rumpletilskinz,Is It Alright?,24,1993-11-27
5120,Scarface,Now I Feel Ya,25,1993-11-27
5128,Queen Latifah,U.N.I.T.Y.,8,1993-12-04
5129,Domino,Getto Jam,9,1993-12-04
5130,K7,Come Baby Come,10,1993-12-04
5131,MC Ren,Same Ol' Shit,11,1993-12-04
5137,Too $hort,I'm A Player,17,1993-12-04
5141,Jeru The Damaja,Come Clean,21,1993-12-04
5143,12 Gauge,Dunkie Butt (Please Please Please),23,1993-12-04
5144,Rakim,Heat It Up,24,1993-12-04
5145,Lords Of The Underground,Here Come The Lords,25,1993-12-04
5148,Ice Cube,Really Doe,3,1993-12-11
5163,Jazzy Jeff & The Fresh Prince,I'm Looking For The One (To Be With Me),18,1993-12-11
5166,Born Jamericans,Boom Shak A-Tack,21,1993-12-11
5175,Snoop Dogg,What's My Name?,5,1993-12-18
5242,KRS-One,Sound Of Da Police,22,1994-01-01
5243,US 3,Cantaloop (Flip Fantasia),23,1994-01-01
5244,Shabba Ranks,Family Affair,24,1994-01-01
5291,Cypress Hill,We Ain't Goin' Out Like That,21,1994-01-15
5322,Salt-N-Pepa Featuring En Vogue,Whatta Man,2,1994-01-29
5365,Too $hort,Money In The Ghetto,20,1994-02-05
5367,Raheem The Dream,Short Shorts,22,1994-02-05
5368,K7,Zunga Zeng,23,1994-02-05
5375,M.C. Hammer,It's All Good,5,1994-02-12
5380,OutKast,Player's Ball,10,1994-02-12
5382,Snoop Dogg,Gin And Juice,12,1994-02-12
5410,Ice Cube,You Know How We Do It,15,1994-02-19
5413,Shaquille O'Neal,I'm Outstanding,18,1994-02-19
5414,Gang Starr,Mass Appeal,19,1994-02-19
5438,DFC (Duet With MC Eiht),Caps Get Peeled,18,1994-02-26
5442,Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),22,1994-02-26
5464,Shyheim,On And On,19,1994-03-05
5466,Lighter Shade Of Brown,Hey D.J.,21,1994-03-05
5469,Nas,It Ain't Hard To Tell,24,1994-03-05
5481,Queen Latifah,Just Another Day,11,1994-03-12
5492,Masta Ace Incorporated,Born To Roll,22,1994-03-12
5493,MeShell Ndegeocello,If That's Your Boyfriend,23,1994-03-12
5495,Kris Kross,Da Bomb,25,1994-03-12
5507,The Conscious Daughters,Something To Ride To,12,1994-03-19
5508,A Tribe Called Quest,Electric Relaxation,13,1994-03-19
5512,M.C. Hammer,Pumps And A Bump,17,1994-03-19
5517,Sudden Change,Comin' On Strong,22,1994-03-19
5534,Heavy D & The Boyz,Got Me Waiting,14,1994-03-26
5562,Simple E,Play My Funk,17,1994-04-02
5592,Domino,Sweet Potatoe Pie,22,1994-04-09
5594,2Pac Duet With Mopreme,Papa'z Song,24,1994-04-09
5610,South Central Cartel,Gang Stories,15,1994-04-16
5619,Black Moon,I Got Cha Opin,24,1994-04-16
5645,Patra,Worker Man,25,1994-04-23
5668,Illegal,Back In The Day,23,1994-04-30
5684,Warren G & Nate Dogg,Regulate,14,1994-05-07
5718,Smif-N-Wessun,Bucktown/Let's Get It On,23,1994-05-14
5739,The Crooklyn Dodgers,Crooklyn,19,1994-05-21
5742,Jeru The Damaja,D. Original,22,1994-05-21
5758,Arrested Development,Ease My Mind,13,1994-05-28
5766,Tag Team,"Here It Is, Bam!",21,1994-05-28
5769,Coolio,Fantastic Voyage,24,1994-05-28
5773,Da Brat,Funkdafied,3,1994-06-04
5793,E-40,Captain Save A Hoe,23,1994-06-04
5812,69 Boyz,Tootsee Roll,17,1994-06-11
5820,Fugees,Nappy Heads,25,1994-06-11
5843,A Tribe Called Quest,Oh My God,23,1994-06-18
5869,Volume 10,Pump,24,1994-06-25
5884,Nice & Smooth,Old To The New,14,1994-07-02
5887,The Puppies,Funky Y-2-C,17,1994-07-02
5890,Ill Al Skratch,Where My Homiez?,20,1994-07-02
5894,King Just,Warrior's Drum,24,1994-07-02
5903,Gravediggaz,Diary Of A Madman,8,1994-07-09
5909,OutKast,Southernplayalisticadillacmuzik,14,1994-07-09
5918,Mad Lion,Take It Easy,23,1994-07-09
5919,Heavy D & The Boyz,Nuttin' But Love,24,1994-07-09
5933,Public Enemy,Give It Up,13,1994-07-16
5978,Warren G,This D.J.,8,1994-07-30
5980,Ice Cube Featuring George Clinton,Bop Gun (One Nation),10,1994-07-30
5994,Wu-Tang Clan,Can It Be All So Simple,24,1994-07-30
6017,Queen Latifah,Black Hand Side,22,1994-08-06
6029,Craig Mack,Flava In Ya Ear,9,1994-08-13
6037,The Lady Of Rage,Afro Puffs,17,1994-08-13
6040,Patra Featuring Yo-Yo,Romantic Call,20,1994-08-13
6042,Terror Fabulous Featuring Nadine Sutherland,Action,22,1994-08-13
6044,Boogiemonsters,Recognized Thresholds Of...,24,1994-08-13
6076,The Notorious B.I.G.,Juicy/Unbelievable,6,1994-08-27
6094,Bone Thugs-N-Harmony,Thuggish Ruggish Bone,24,1994-08-27
6095,"Sam ""The Beast""",Gucci Dance Live,25,1994-08-27
6115,PMD,I Saw It Cummin',20,1994-09-03
6143,Mic Geronimo,It's Real,23,1994-09-10
6145,Gang Starr,Dwyck,25,1994-09-10
6165,Salt-N-Pepa,None Of Your Business,20,1994-09-17
6167,Rappin' 4-Tay,Playaz Club,22,1994-09-17
6169,Ill Al Skratch Featuring Brian McKnight,I'll Take Her,24,1994-09-17
6170,Da Youngsta's,Hip Hop Ride,25,1994-09-17
6190,Pete Rock & C.L. Smooth,I Got A Love,20,1994-09-24
6195,The Roots,Distortion To Static,25,1994-09-24
6219,Black Moon,Buck Em Down,24,1994-10-01
6233,Digable Planets,9th Wonder (Slicker This Year),13,1994-10-08
6244,Dis `N' Dat,Party,24,1994-10-08
6263,Da Brat,Fa All Y'All,18,1994-10-15
6269,Above The Law,Black Superman,24,1994-10-15
6275,Keith Murray,The Most Beautifullest Thing In...,5,1994-10-22
6285,Black Sheep,Without A Doubt,15,1994-10-22
6287,Spice 1,Strap On The Side,17,1994-10-22
6306,Brand Nubian,Word Is Bond,11,1994-10-29
6315,Lords Of The Underground,Tic Toc,20,1994-10-29
6316,OutKast,"Git Up, Git Out",21,1994-10-29
6328,Heavy D & The Boyz,Black Coffee,8,1994-11-05
6351,Method Man,Bring The Pain,6,1994-11-12
6368,DFC,Things In Tha Hood,23,1994-11-12
6369,Nas,One Love,24,1994-11-12
6376,Scarface,I Never Seen A Man Cry (I Seen A Man Die),6,1994-11-19
6382,Redman,Rockafella,12,1994-11-19
6388,Shaquille O'Neal,Biological Didn't Bother,18,1994-11-19
6389,Michael Wall Love Foundation,Love Song,19,1994-11-19
6393,Dis `N' Dat,Back Up Off Me!,23,1994-11-19
6408,Slick Rick,Behind Bars,14,1994-11-26
6418,69 Boyz,Much Love,24,1994-11-26
6438,Warren G,Do You See,20,1994-12-03
6440,69 Boyz,Kitty Kitty,22,1994-12-03
6442,Super Cat,Scalp Dem,24,1994-12-03
6481,Dru Down,Pimp Of The Year,14,1994-12-17
6491,Dana Dane,Record Jock,24,1994-12-17
6492,Paris,Guerrilla Funk,25,1994-12-17
6509,Nine,Whutcha Want?,17,1994-12-24
6523,Craig Mack,Get Down,6,1994-12-31
6537,Tha Alkaholiks,Daaam!,20,1994-12-31
6542,D.J. Trans,Ride Out,25,1994-12-31
6567,Fugees,Vocab,25,1995-01-07
6576,Too $hort,Cocktales,9,1995-01-14
6588,Funkmaster Flex & The Ghetto Celebs,Nuttin But Flavor,21,1995-01-14
6591,Vicious,Nika,24,1995-01-14
6596,The Notorious B.I.G.,Big Poppa/Warning,4,1995-01-21
6604,Channel Live,Mad Izm,12,1995-01-21
6607,Way 2 Real,Tha Butterfly,15,1995-01-21
6616,95 South,Rodeo,24,1995-01-21
6629,Capleton,Tour,12,1995-01-28
6661,The Roots,Proceed I,19,1995-02-04
6664,Rottin Razkals,Oh Yeah!,22,1995-02-04
6686,Group Home,Supa Star,19,1995-02-11
6691,Raekwon Feat. Ghost Face Killer,Heaven & Hell,24,1995-02-11
6715,Shaquille O'Neal Feat. Prince Rakeem The RZA & Method Man,No Hook,23,1995-02-18
6721,E-40 (Featuring Leviti),1-Luv,4,1995-02-25
6722,Bone Thugs-N-Harmony Featuring Eazy-E,Foe The Love Of $,5,1995-02-25
6724,Ol' Dirty Bastard,Brooklyn Zoo,7,1995-02-25
6727,Mobb Deep,Shook Ones Part II,10,1995-02-25
6728,Redman,Can't Wait,11,1995-02-25
6756,Keith Murray,Get Lifted,14,1995-03-04
6768,2Pac,Dear Mama/Old School,1,1995-03-11
6777,Scarface Feat. Ice Cube,People Don't Believe,10,1995-03-11
6789,Slick Rick Featuring Doug E. Fresh,Sittin' In My Car,22,1995-03-11
6816,Dr. Dre,"Keep Their Heads Ringin' (From ""Friday"")",24,1995-03-18
6817,Thug Life,Cradle To The Grave,25,1995-03-18
6836,Rappin' 4-Tay Feat. The Spinners,I'll Be Around,19,1995-03-25
6842,DJ Quik,Safe + Sound,25,1995-03-25
6864,DJ Smurf And P.M.H.I.,Ooh Lawd (Party People),22,1995-04-01
6878,Da Brat,Give It 2 You,11,1995-04-08
6890,Redman,Freak Me Baby,23,1995-04-08
6913,Nine,Boo-Tee Bounce,22,1995-04-15
6920,Naughty By Nature,Craziest,5,1995-04-22
6939,Dana Dane,The I.N.C. Ride,24,1995-04-22
6961,DJ Quik,Resurrection,22,1995-04-29
6963,DJ Smurf And P.M.H.I.,Any Emcee,24,1995-04-29
6988,Method Man Featuring Mary J. Blige,I'll Be There For You/You're All I Need To Get By,1,1995-05-13
6999,95 South,Hey Lookaway,12,1995-05-13
7001,Keith Murray,Lifestyles Of The Rich And Shameless,14,1995-05-13
7007,Mobb Deep,Among The Walking Dead,20,1995-05-13
7029,Domino,U Better Recognize,18,1995-05-20
7030,Mobb Deep,Tales From The Hood,19,1995-05-20
7044,Masta Ace Incorporated,Foe Life,9,1995-05-27
7058,E-40 (Featuring Leviti),Put It On,23,1995-05-27
7076,Capleton,All Glocks Down,17,1995-06-03
7080,Scarface,I Like It (I Wanna Be Where You Are),21,1995-06-03
7083,Mobb Deep,Shimmy Shimmy Ya,24,1995-06-03
7088,Naughty By Nature,Feel Me Flow,5,1995-06-10
7092,Lost Boyz,I Got 5 On It,9,1995-06-10
7095,Mack 10,Neva Go Back,12,1995-06-10
7106,Scarface,Lollipop,23,1995-06-10
7123,Mobb Deep,The Points,16,1995-06-17
7124,Heather B.,Survival Of The Fittest,17,1995-06-17
7131,Sam Sneed Featuring Dr. Dre,I Wish,24,1995-06-17
7132,The Notorious B.I.G.,One More Chance/Stay With Me,1,1995-06-24
7146,Questionmark Asylum,Sprinkle Me,15,1995-06-24
7169,The Notorious B.I.G.,So Many Tears,14,1995-07-01
7178,Heather B.,Champion,23,1995-07-01
7202,Domino,Sugar Hill,23,1995-07-08
7226,Buju Banton,Hey Alright,23,1995-07-15
7229,Shaggy,Boombastic/In The Summertime,2,1995-07-22
7232,Chef Raekwon,Glaciers Of Ice/Criminology,5,1995-07-22
7247,Lost Boyz,Player's Anthem,20,1995-07-22
7293,Dr. Dre,"Live!!! (From ""The Show"")",18,1995-08-05
7298,Big L,Who's The Biggest,23,1995-08-05
7299,Playa Poncho Featuring L.A. Sno,MVP,24,1995-08-05
7318,Big L,"1,2 Pass It",19,1995-08-12
7322,The Notorious B.I.G.,"Whatz Up, Whatz Up",23,1995-08-12
7328,Coolio Featuring L.V.,"Gangsta's Paradise (From ""Dangerous Minds"")",6,1995-08-19
7339,Onyx,"Summertime In The LBC (From ""The Show"")",17,1995-08-19
7362,Onyx,Sultry Funk,17,1995-08-26
7366,Smooth,A Little Of This,21,1995-08-26
7370,Redman/Method Man,"How High (From ""The Show"")",2,1995-09-02
7374,Bone Thugs-N-Harmony,1st Of Tha Month,6,1995-09-02
7405,Mack 10,"Jeeps, Lex Coups, Bimaz & Benz",14,1995-09-09
7410,Playa Poncho Featuring L.A. Sno,MC's Act Like They Don't Know,19,1995-09-09
7414,Masta Ace Incorporated,Dom Perignon,23,1995-09-09
7415,Doug E. Fresh,Sittin' On Chrome,24,1995-09-09
7429,Lost Boyz,"Return Of The Crooklyn Dodgers (From ""Clockers"")",14,1995-09-16
7436,E-40 (Featuring Suga T),Where's Da Party At?,21,1995-09-16
7449,Das EFX,Real Hip Hop,10,1995-09-23
7457,Mack 10,West Up!,18,1995-09-23
7459,Naughty By Nature,Round & Round,20,1995-09-23
7475,Jamal,Fades Em All,12,1995-09-30
7478,2Pac,Temptations,15,1995-09-30
7485,Super Cat,Y'all Ain't Ready Yet,22,1995-09-30
7486,Mack 10,Girlstown,23,1995-09-30
7520,Goodie Mob,Cell Therapy,9,1995-10-14
7521,Raekwon,Incarcerated Scarfaces/Ice Cream,10,1995-10-14
7523,Cypress Hill,Throw Your Set In The Air,12,1995-10-14
7527,Blahzay Blahzay,Danger,16,1995-10-14
7536,The Pharcyde,Drop/Runnin',25,1995-10-14
7546,Erick Sermon,Bomdigi,10,1995-10-21
7552,Salt-N-Pepa,Ain't Nothin' But A She Thing,16,1995-10-21
7565,Genius/GZA,Liquid Swords,4,1995-10-28
7577,Capleton,Wings Of The Morning,16,1995-10-28
7584,Frost,East Side Rendezvous,23,1995-10-28
7596,Onyx,Last Dayz,10,1995-11-04
7615,The Click,Hurricane,4,1995-11-11
7616,Method Man,"The Riddler (From ""Batman Forever"")",5,1995-11-11
7639,LL Cool J,Hey Lover,3,1995-11-18
7660,The D.O.C.,Return Of Da Livin' Dead,24,1995-11-18
7675,Luniz Featuring Teddy,Playa Hata,14,1995-11-25
7679,Spice 1 Featuring MC Eiht,1990-Sick (Kill em' All),18,1995-11-25
7701,Kool G Rap,Fast Life,15,1995-12-02
7708,Junior M.A.F.I.A. Featuring Aaliyah,I Need You Tonight,22,1995-12-02
7714,Kris Kross,Tonite's Tha Night,3,1995-12-09
7722,Coolio,Too Hot,11,1995-12-09
7726,Bone Thugs-N-Harmony,East 1999,15,1995-12-09
7750,Genius/GZA Featuring Inspektah Deck,Cold World,14,1995-12-16
7758,The D.O.C.,Beware Of My Crew,22,1995-12-16
7766,Eazy-E,Just Tah Let U Know,6,1995-12-23
7780,Mystikal,Ridin' Low,20,1995-12-23
7791,Fugees,Fu-Gee-La,7,1995-12-30
7805,Mystikal,Goin' Up Yonder,21,1995-12-30
7817,Tha Dogg Pound Featuring Michel'le,Let's Play House,10,1996-01-06
7824,Cypress Hill,Funkorama,17,1996-01-06
7845,Heltah Skeltah And O.G.C. As The Fab 5,Leflaur Leflah Eshkushka,14,1996-01-13
7921,Junior M.A.F.I.A. Featuring Aaliyah,Broken Language/Hustlin',20,1996-02-03
7928,Junior M.A.F.I.A. Featuring The Notorious B.I.G.,Get Money,4,1996-02-10
7942,Kool G Rap,Welcome,18,1996-02-10
7952,Das EFX (Featuring Mobb Deep),Microphone Master,5,1996-02-17
7969,Twinz,Uknowhowwedu,22,1996-02-17
7983,Erick Sermon,5 O'Clock,13,1996-02-24
8008,Jamal,Physical Funk,15,1996-03-02
8010,The Click,Keep It Real,17,1996-03-02
8015,Redman,Space Age,22,1996-03-02
8016,Coolio,Ain't No Playa,23,1996-03-02
8020,LL Cool J,Doin It,4,1996-03-09
8023,Busta Rhymes,Woo-Hah!! Got You All In Check/Everything Remains Raw,7,1996-03-09
8034,Rappin' 4-Tay,"1, 2, 3, 4 (Sumpin' New)",18,1996-03-09
8037,Goodie Mob,Nasty Dancer/White Horse,21,1996-03-09
8039,Jamal,Soul Food,23,1996-03-09
8045,MC Lyte Featuring Xscape,"Keep On, Keepin' On (From ""Sunset Park"")",6,1996-03-16
8047,Fat Joe,Envy/Firewater,8,1996-03-16
8081,Bahamadia,Ain't No Nigga/Dead Presidents,19,1996-03-23
8083,Tha Dogg Pound Featuring Michel'le,C'Mon N' Ride It (The Train),21,1996-03-23
8092,Lost Boyz,"Renee (From ""Don't Be A Menace..."")",6,1996-03-30
8105,Quad City DJ's,Shadowboxin',19,1996-03-30
8108,The Click,Mr. Ice Cream Man,22,1996-03-30
8109,Jamal,Scandalous,23,1996-03-30
8131,Smoothe Da Hustler,Hustler's Theme,21,1996-04-06
8133,LL Cool J,Why You Treat Me So Bad,23,1996-04-06
8169,Luke,"Scarred (From ""Eddie"")",11,1996-04-20
8182,Redman,Doe Or Die,24,1996-04-20
8194,Kris Kross,Live and Die For Hip Hop,12,1996-04-27
8203,69 Boyz Featuring Quad City DJ's,"Hoop In Yo Face (From ""Sunset Park"")",21,1996-04-27
8222,Geto Boys Featuring Flaj,"The World Is A Ghetto (From ""Original Gangstas"")",16,1996-05-04
8226,DJ Kool,Let Me Clear My Throat,20,1996-05-04
8231,Heather B.,If Headz Only Knew...,25,1996-05-04
8232,Bone Thugs-N-Harmony,Tha Crossroads,1,1996-05-11
8249,Delinquent Habits,Tres Delinquentes,18,1996-05-11
8253,Poppa Doo,Mother's Prayer,22,1996-05-11
8267,Crucial Conflict,Hay,11,1996-05-18
8302,Ice-T,I Must Stand,21,1996-05-25
8324,Coolio,"It's All The Way Live (Now) (From ""Eddie"")",18,1996-06-01
8329,Digital Underground,Oregano Flow,23,1996-06-01
8343,Sadat X,Hang Em' High,12,1996-06-08
8346,Heltah Skeltah,Operation Lockdown/Da Wiggy,15,1996-06-08
8354,Blahzay Blahzay,Pain I Feel,23,1996-06-08
8356,Do Or Die (Featuring Twista),Po Pimp,25,1996-06-08
8375,2Pac Featuring K-Ci And JoJo,How Do U Want It/California Love,19,1996-06-15
8379,Mad Lion Featuring KRS-ONE And Brenda K. Starr,Double Trouble,23,1996-06-15
8396,Nas,If I Ruled The World,15,1996-06-22
8402,Cypress Hill,Boom Biddy Bye Bye,21,1996-06-22
8405,Domino,So Fly,24,1996-06-22
8420,Bahamadia,I Confess,14,1996-06-29
8425,De La Soul,The Bizness/Stakes Is High,19,1996-06-29
8429,Ruffa Featuring Tasha,Don't You Worry,23,1996-06-29
8451,Real Live Featuring K-Def & Larry-O,Real Live Sh*t,20,1996-07-06
8460,LL Cool J,Loungin,4,1996-07-13
8464,Busta Rhymes Featuring Zhane,It's A Party,8,1996-07-13
8468,Xzibit,Paparazzi,12,1996-07-13
8506,The Roots,Clones/Section,25,1996-07-20
8508,OutKast,Elevators (Me & You),2,1996-07-27
8525,Rappin' 4-Tay,A Lil' Some'em Some'em,19,1996-07-27
8540,A+,All I See,9,1996-08-03
8568,The 2 Live Crew,Shake A Lil' Somethin'...,12,1996-08-10
8580,Ras Kass,Anything Goes,24,1996-08-10
8588,A+,"Wu-Wear: The Garment Renaissance (From ""High School High"")",7,1996-08-17
8596,The Roots,No More Tears,15,1996-08-17
8605,Rappin' 4-Tay,100 Spokes,24,1996-08-17
8614,Busta Rhymes Featuring Zhane,Dirty South,9,1996-08-24
8616,Xzibit,Gettin' It,11,1996-08-24
8628,Ras Kass,Can You Feel Me,23,1996-08-24
8651,Bahamadia,Illegal Life,22,1996-08-31
8666,The Roots,"Get Ready, Here It Comes (It's The Choo-Choo)",13,1996-09-07
8674,Coolio,Can't Knock The Hustle,21,1996-09-07
8711,The 2 Live Crew,"What's Love Got To Do With It (From ""Supercop"")",10,1996-09-21
8721,Capone -N- Noreaga,Bow Down,20,1996-09-21
8725,Ras Kass,No,24,1996-09-21
8740,Dru Down,No Fear,15,1996-09-28
8744,The Roots,Rugged -N- Raw,19,1996-09-28
8747,Ras Kass,Freak Of The Week,22,1996-09-28
8757,Lost Boyz,Music Makes Me High,8,1996-10-05
8769,Busta Rhymes Featuring Zhane,Ya Playin' Yaself,20,1996-10-05
8776,Da Brat,Sittin' On Top Of The World,3,1996-10-12
8791,Too Short Feat. Parliament Funkadelic,Dead & Gone,18,1996-10-12
8794,Jeru The Damaja,Itzsoweezee (Hot),21,1996-10-12
8812,Goodie Mob,No Time,15,1996-10-19
8817,M.O.P.,The Rhyme,20,1996-10-19
8861,De La Soul,Therapy,16,1996-11-02
8863,Keith Murray,Da' Dip,18,1996-11-02
8870,Nas,Street Dreams,1,1996-11-09
8893,Keith Murray,The Love Song,24,1996-11-09
8904,Killafornia Organization,Throw It Up,11,1996-11-16
8908,Mobb Deep,Front Lines (Hell On Earth),15,1996-11-16
8911,Heltah Skeltah,You Could Be My Boo,18,1996-11-16
8915,De La Soul,The Lump Lump,22,1996-11-16
8948,MC Lyte,Cold Rock A Party,7,1996-11-30
8950,OutKast,ATLiens/Wheelz Of Steel,9,1996-11-30
8952,Richie Rich,Let's Ride,11,1996-11-30
8960,Xzibit,The Foundation,19,1996-11-30
8980,Camp Lo,Luchini aka (This Is It),15,1996-12-07
8982,The Roots,What They Do,17,1996-12-07
8984,D.J. Trans,Suki Suki Now,19,1996-12-07
8996,Da Brat,"Nothin' But The Cavi Hit (From ""Rhyme & Reason"")",7,1996-12-14
9012,Capone -N- Noreaga,Phenomenon,23,1996-12-14
9029,Xzibit,"Space Jam (From ""Space Jam"")",16,1996-12-21
9032,The Roots,Runnin',19,1996-12-21
9036,Al Tariq (Kool Fash),"Ain't Nobody (From ""Beavis And Butt-Head Do America"")",23,1996-12-21
9037,Ras Kass,Everybody's Talkin',24,1996-12-21
9048,Richie Rich,That's How It Is (It's Like That),11,1996-12-28
9052,Freak Nasty,Stressed Out,15,1996-12-28
9059,Jay-Z,Soul On Ice,22,1996-12-28
9070,Do Or Die (Featuring Twista),Get Up,9,1997-01-04
