,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics,genius_artist
80,184,1723,Son Of Bazerk/No Self Control,Change The Style,24,1991-02-23,NaN,Wildcard
81,185,1724,2 Black 2 Strong MMG,Burn Baby Burn,25,1991-02-23,NaN,MercyMe
84,193,1799,M.C. Jr. Cas,Wild Side,25,1991-03-16,NaN,Marvin Gaye
85,195,1821,Vicious Base Feat. D.J. Magic Mike,It's Automatic,22,1991-03-23,NaN,Shinedown
86,196,1845,Redhead Kingpin,All About Red,21,1991-03-30,NaN,Esham
87,198,1849,Mario,Whip It Baby,25,1991-03-30,NaN,Dazz Band
91,204,1921,Run-D.M.C.,Faces,22,1991-04-20,NaN,Juicy J
92,205,1922,ARB,Crank It Up,23,1991-04-20,NaN,Peter Brown
94,208,1970,Terminator X,Homey Don't Play Dat,21,1991-05-04,NaN,Esham
95,209,1972,Hansoul,Imagination,23,1991-05-04,NaN,Karmin
96,211,1974,K-9 Posse,Get Wild Go Crazy,25,1991-05-04,NaN,The Cheetah Girls
98,214,1998,Craig-G,U-R-Not The 1,24,1991-05-11,NaN,Denny Lanez
99,215,2023,L.A. Posse,Countdown,24,1991-05-18,NaN,SiriusXM U
100,216,2044,MC Sway & DJ King Tech,Follow 4 Now,20,1991-05-25,NaN,Snow Patrol
101,217,2049,Fonke Socialistiks,You Are My Heaven,25,1991-05-25,NaN,Mapache
102,218,2066,Larry Larr,"Larry, That's What They Call Me",17,1991-06-01,NaN,Lawren
103,222,2074,Definition Of Sound,Now Is Tomorrow,25,1991-06-01,NaN,LOST
104,226,2124,Buffalo Soldiers,Playing Your Game,25,1991-06-15,NaN,AC/DC
105,229,2147,The Dogs Feat. Disco Rick,Do The Nasty Dance,23,1991-06-22,NaN,Marley Marl
106,232,2172,Grandaddy I.U.,Sugar Free,23,1991-06-29,NaN,Sugarfree
107,236,2196,Rodney O & Joe Cooley,Get Ready To Roll,22,1991-07-06,NaN,The Jibster
108,237,2197,Son Of Bazerk,"Bang (Get Down, Get Down)",23,1991-07-06,NaN,DJ Screw
109,241,2224,Jibri Wise One,The House The Dog Built,25,1991-07-13,NaN,Aldous Huxley
110,244,2272,Redhead Kingpin,It's A Love Thang,23,1991-07-27,NaN,Keith Urban
111,245,2273,Fifth Platoon,Party Line,24,1991-07-27,NaN,St. Vincent
112,246,2298,Greyson & Jason,Get Bizzy,24,1991-08-03,NaN,Tech N9ne
113,247,2299,"Sam ""The Beast""",Knock Some Boots,25,1991-08-03,NaN,Ehiorobo
114,248,2316,T.C.F.,If You Wanna Sex Me Up,17,1991-08-10,NaN,KeneddyTheDon
115,250,2324,Young Black Teenagers,Loud And Hard To Hit,25,1991-08-10,NaN,Unknown Author
116,252,2344,Tim Dog,F-ck Compton,20,1991-08-17,NaN,Blowfly
117,254,2347,Justin Warfield,Season Of The Vic,23,1991-08-17,NaN,Thucydides
118,256,2367,Yo-Yo,Ain't Nobody Better,18,1991-08-24,NaN,Boosie Badazz
119,257,2372,Larry Larr,Confused,23,1991-08-24,NaN,Boosie Badazz
120,258,2399,Oaktown's 3.5.7,Turn It Up,25,1991-08-31,NaN,E-40
121,263,2449,2 Kings In A Cipher,Definition Of A King,25,1991-09-14,NaN,Clutch (band)
122,266,2473,Def Jef,Here We Go Again,24,1991-09-21,NaN,Portrait (R&B)
123,267,2492,H.E.A.L.,Heal Yourself,18,1991-09-28,NaN,Fugazi
124,268,2494,UMC's,Blue Cheese,20,1991-09-28,NaN,Young Thug
125,269,2495,The Jaz,A Groove (This Is What U Rap 2),21,1991-09-28,NaN,8Ball
126,272,2520,Yomo & Maulkie,Glory,21,1991-10-05,NaN,Brand New
128,278,2574,F.S. Effect,I Wanna B Ure Lover,25,1991-10-19,NaN,Bure
129,280,2594,D.J. Magic Mike & Madness,You Want Bass,20,1991-10-26,NaN,XV
130,289,2696,Candyman,1-800-Sky-Talk PIN #110279,22,1991-11-23,NaN,NaN
131,290,2698,Poor Righteous Teachers,Shakiyla (JRH),24,1991-11-23,NaN,Mahal
132,291,2718,Jibri Wise One,I'll Be There For You,19,1991-11-30,NaN,Mary J. Blige
133,296,2746,Marky Mark & The Funky Bunch,Wildside,22,1991-12-07,NaN,Marvin Gaye
134,303,2873,Redhead Kingpin & The F.B.I.,Nice & Slow,24,1992-01-11,NaN,Drake
135,304,2874,D.J. Magic Mike & M.C. Madness,Dynamic Duo,25,1992-01-11,NaN,Dynamic Duo
136,311,2923,D-Nice,Time To Flow,24,1992-01-25,NaN,Mystikal
137,320,3015,Shabba Ranks Featuring KRS-1,The Jam,16,1992-02-22,NaN,Rage Against the Machine
138,326,3071,True Culture,"It's So Good, It's Bad",22,1992-03-07,NaN,MicJeezy
139,327,3096,UMC's,One To Grow On,22,1992-03-14,NaN,RZA
140,332,3146,Chi-Ali,Age Ain't Nothin' But A #,22,1992-03-28,NaN,DJ Jazzy Jeff & The Fresh Prince
141,334,3172,Hen G & Evil E,If You Were Mine,23,1992-04-04,NaN,Conway Twitty
143,338,3198,Lil' Shawn,Hickeys On Your Chest,24,1992-04-11,NaN,Andrea Gibson
144,342,3224,Ghetto Girlz,My Man's Playing Tricks On Me,25,1992-04-18,NaN,S.O.
145,345,3249,Sister Souljah,The Hate That Hate Produced,25,1992-04-25,NaN,Paris (Rapper)
146,348,3296,BDP,13 And Good,22,1992-05-09,NaN,John McTiernan
148,351,3322,Doug E. Fresh,Bustin' Out (On Funk),23,1992-05-16,NaN,Twista
150,354,3348,Sylk Smoov,Trick Wit A Good Rap,24,1992-05-23,NaN,Vakill
151,355,3349,The Future Sound,Lady/What's A Bro To Do?,25,1992-05-23,NaN,Mark Twain
153,357,3393,Heavy D & The Boyz,Don't Curse/You Can't See What I See,19,1992-06-06,NaN,Kristin Andreassen
154,358,3397,Penthouse Players Clique,Explanation Of A Playa,23,1992-06-06,NaN,George Eliot
155,359,3398,M.C. Brains,Everybody's Talking About M.C. Brains,24,1992-06-06,NaN,Gringo the MC
156,361,3424,Kid Frost,No Sunshine,25,1992-06-13,NaN,Smaka-G
157,365,3472,Kwame,Nastee,23,1992-06-27,NaN,Onyx
158,366,3474,M.C. Breed,Ain't To Be F...ed With,25,1992-06-27,NaN,4th25
159,374,3568,Kid Frost,Thin Line,19,1992-07-25,NaN,The Kinks
160,378,3594,Monie Love,"Full Term Love (From ""Class Act"")",20,1992-08-01,NaN,Greg Daniels
161,380,3598,K-Solo,I Can't Hold Back,24,1992-08-01,NaN,Bones
162,387,3647,Raheem,5th Ward,23,1992-08-15,NaN,5th Ward Boyz
163,388,3668,Grand Puba,360 Degrees (What Goes Around),19,1992-08-22,NaN,Joel and Ethan Coen
164,390,3672,The College Boyz,Hollywood Paradox,23,1992-08-22,NaN,Marillion
165,391,3674,Ho Frat Ho!,Ho Frat Swing,25,1992-08-22,NaN,Heinrich Heine
166,393,3698,M.C. Brains,Brainstorming/G-String,24,1992-08-29,NaN,NaN
167,394,3720,MC Serch,Here It Comes/Back To The Grill,21,1992-09-05,NaN,Cinnamane
168,395,3723,Luke,Breakdown,24,1992-09-05,NaN,Art Genius
169,397,3748,Double XX,Head Cracker,24,1992-09-12,NaN,(hed) P.E.
170,398,3749,Highland Place Mobsters,Let's Get Naked,25,1992-09-12,NaN,Beenzino
171,400,3772,Zhigge,Toss It Up,23,1992-09-19,NaN,Tyga
172,401,3773,Brothers Uv Da Blakmarket,Livin' In Da Bottle,24,1992-09-19,NaN,Warren Buffett
174,409,3845,Diamond & Psychotic Neurotics,Best Kept Secret,21,1992-10-10,NaN,GEMINI KILLER
175,411,3848,Prince Markie Dee & Soul Convention,Trippin' Out,24,1992-10-10,NaN,Lil' Snupe
178,422,3948,Mad Cobra,Flex,24,1992-11-07,NaN,Ronnie Flex
179,423,3949,Home Team,Pick It Up,25,1992-11-07,NaN,Moufy
180,424,3973,BDP,We In There,24,1992-11-14,NaN,FKi
181,425,3974,The College Boyz,Humpin',25,1992-11-14,NaN,Whale
182,426,3996,Ice Cube,Wicked,22,1992-11-21,NaN,Stormzy
183,435,4072,Miles Davis,Fantasy,23,1992-12-12,NaN,Mariah Carey
184,441,4123,Arrested Development,Revolution,24,1992-12-26,NaN,Prince and the Revolution
185,442,4124,Success-N-Effect,Ultimate Drive-By,25,1992-12-26,NaN,Above the Law
186,443,4167,Lighter Shade Of Brown,Homies,18,1993-01-09,NaN,Fredo Santana
189,449,4223,Rough House Survivers,Check Da Backpack,24,1993-01-23,NaN,Artifacts
190,450,4224,Shabba Ranks,Ting-A-Ling,25,1993-01-23,NaN,Nicki Minaj
191,452,4271,XClan,A.D.A.M.,22,1993-02-06,NaN,Epic Rap Battles of History
192,453,4272,Y'all So Stupid,85 South,23,1993-02-06,NaN,Waka Flocka Flame
193,454,4273,Onyx,Throw Your Gunz,24,1993-02-06,NaN,2Pac
194,462,4322,C.E.B.,Get The Point,23,1993-02-20,NaN,Wale
196,473,4398,Shawnie Ranks,Gettin It On,24,1993-03-13,NaN,Meek Mill
197,474,4416,Diamond & Psychotic Neurotics,Sally Got A One Track Mind,17,1993-03-20,NaN,Joe Perry Project
199,484,4495,Runaway Slaves,Booty Mission,21,1993-04-10,NaN,Todrick Hall
200,485,4497,Kilo,Tick Tock,23,1993-04-10,NaN,Scallops hotel
202,487,4522,Wreckx-N-Effect,Wreckx Shop,23,1993-04-17,NaN,Fu-Schnickens
203,488,4524,Trends Of Culture,Off & On,25,1993-04-17,NaN,OnCue
204,489,4549,Boss,Deeper,25,1993-04-24,NaN,Rick Ross
205,494,4596,Kenny Dope,Gunshot,22,1993-05-08,NaN,SpongeBOZZ
206,502,4649,Intelligent Hoodlum,The Posse (Shoot'Em Up),25,1993-05-22,NaN,Inglebirds
207,506,4699,Shabba Ranks/Queen Latifah,What'Cha Gonna Do?,25,1993-06-05,NaN,Koopsta Knicca
208,508,4724,Yo-Yo,Bonnie & Clyde/IBWin' Wit My Crewin',25,1993-06-12,NaN,NaN
209,513,4772,Jungle Brothers,40 Below Trooper/All I Think...,23,1993-06-26,NaN,Daniel Defoe
210,515,4774,Lin Que,This Is It/Rip It Up,25,1993-06-26,NaN,Immature
211,521,4823,General Grant,D-Shot Call,24,1993-07-10,NaN,E-40
212,525,4870,Trique-Dik-Slik,Euphoria,21,1993-07-24,NaN,Vanna
213,526,4873,Luke,Work It Out,24,1993-07-24,NaN,Supernatural
214,527,4874,Knucklehedz,All She Wanted/Hed Rush,25,1993-07-24,NaN,Brian Michael McCormick
215,530,4899,Intelligent Hoodlum,Grand Groove/At Large,25,1993-07-31,NaN,Charlotte Bronte
216,531,4917,Kris Kross Featuring Supercat,Alright,18,1993-08-07,NaN,Justin Bieber
220,539,4972,Poizon Posse,This Is It Y'All,23,1993-08-21,NaN,Common Market
221,540,4973,Rumpletilskinz,Attitudes,24,1993-08-21,NaN,South Circle
222,541,4991,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",Very Special/Stop Shammin',17,1993-08-28,NaN,Universal Studios
223,546,5023,Trends Of Culture,Valley Of The Skinz,24,1993-09-04,NaN,Elias Lönnrot
224,547,5044,Hoodratz,Bootlegga,20,1993-09-11,NaN,The Bootleggers
225,549,5047,Jazzy Jeff & The Fresh Prince,Boom! Shake The Room,23,1993-09-11,NaN,Rappychappy
227,552,5074,Da Youngsta's,Iz U Wit Me,25,1993-09-18,NaN,Skillz Killz
228,555,5122,Rumble,Safe/Booyaka! Booyaka!,23,1993-10-02,NaN,Artifacts
229,560,5147,Private Investigators,Mash Up The Mic,23,1993-10-09,NaN,Sage The 64th Wonder
230,563,5173,Poison Clan,Don't Sleep On A Hizzo,24,1993-10-16,NaN,Pablo Neruda
231,564,5194,Nikki D,Freak Out,20,1993-10-23,NaN,Avril Lavigne
232,570,5220,Dred Scott,Nutin' Ta Lose,21,1993-10-30,NaN,Petey Pablo
234,572,5224,Black Maddness,Wild Brooklyn Bandits,25,1993-10-30,NaN,Eddie Ill & D.L.
235,574,5268,Kris Kross,I'm Real,19,1993-11-13,NaN,Chad Valley
236,576,5270,ED O.G & DA Bulldogs,Skinny Dip (Got It Goin' On),21,1993-11-13,NaN,Jay Z
237,583,5299,Father,69,25,1993-11-20,NaN,Kevin Gates
238,584,5318,M.C. Breed,Tight,19,1993-11-27,NaN,Kool A.D.
240,586,5323,Rumpletilskinz,Is It Alright?,24,1993-11-27,NaN,Cloud Nothings
241,591,5335,MC Ren,Same Ol' Shit,11,1993-12-04,NaN,Pill
242,594,5347,12 Gauge,Dunkie Butt (Please Please Please),23,1993-12-04,NaN,George Gallo
243,598,5367,Jazzy Jeff & The Fresh Prince,I'm Looking For The One (To Be With Me),18,1993-12-11,NaN,LongShot the Rapper
244,603,5448,Shabba Ranks,Family Affair,24,1994-01-01,NaN,Jozeemo
246,607,5571,Raheem The Dream,Short Shorts,22,1994-02-05,NaN,Childish Gambino
247,608,5572,K7,Zunga Zeng,23,1994-02-05,NaN,Zynga
248,609,5579,M.C. Hammer,It's All Good,5,1994-02-12,NaN,Mac Mall
249,615,5642,DFC (Duet With MC Eiht),Caps Get Peeled,18,1994-02-26,NaN,Ty (UK)
250,616,5646,Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),22,1994-02-26,NaN,D3 Entertainment
252,622,5697,MeShell Ndegeocello,If That's Your Boyfriend,23,1994-03-12,NaN,Travis Scott
254,627,5721,Sudden Change,Comin' On Strong,22,1994-03-19,NaN,Heavy D
257,641,5970,Tag Team,"Here It Is, Bam!",21,1994-05-28,NaN,Dream Mclean
258,648,6073,Volume 10,Pump,24,1994-06-25,NaN,Smashing Pumpkins
259,657,6137,Public Enemy,Give It Up,13,1994-07-16,NaN,John Newman
