,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics,genius_artist
382,943,9459,E-40 Featuring Bo-Rock,Things'll Never Change/Rapper's Ball,10,1997-02-01,NaN,Genius Users
383,946,9485,Tru Featuring Ice Cream Man (Master P),I Always Feel Like (Somebody's Watching Me),11,1997-02-08,NaN,Rockwell
388,954,9576,Hev-D,Big Daddy,2,1997-03-08,NaN,Big Daddy Kane
389,955,9590,Bounty Killa featuring the Fugees,Hip-Hopera,16,1997-03-08,NaN,2M
392,965,9743,Lil Bud & Tizone Featuring Keith Sweat,Gonna Let U Know,19,1997-04-19,NaN,Bow Wow
401,983,9997,Jungle Brothers,Brain,23,1997-06-28,NaN,Wiz Khalifa
402,984,10018,Coolio Featuring 40 Thevz,"C U When U Get There (From ""Nothing To Lose"")",19,1997-07-05,NaN,Thomas Hardy
404,986,10022,DFC,Listen (Five Minutes),23,1997-07-05,NaN,Astray
411,994,10147,"Trapp, Tupac & Notorious B.I.G.",Be The Realist,23,1997-08-09,NaN,Team Backpack
412,995,10158,Foxy Brown Featuring Dru Hill,"Big Bad Mamma (From ""Def Jam's How To Be A Player"")",9,1997-08-16,NaN,Rap Contenders
414,998,10222,Young M.C.,On & Poppin',23,1997-08-30,NaN,Juelz Santana
417,1002,10246,Kinfusion,Crooked Green Papers,22,1997-09-06,NaN,Katherine Mansfield
420,1007,10289,Hurricane G,Somebody Else,15,1997-09-20,NaN,Rico Love
422,1010,10316,EPMD,The Joint,17,1997-09-27,NaN,Ben Bernanke
424,1013,10346,Mad Dog Clique,Bump'n In Your Trunk,22,1997-10-04,NaN,MoonRock
425,1014,10365,Mr. Money Loc,Imma Rolla,16,1997-10-11,NaN,Jeezy
428,1020,10424,Lil' O,Can't Stop,25,1997-10-25,NaN,Jeru the Damaja
429,1021,10425,Mase,Feel So Good,1,1997-11-01,NaN,Shy Girls
431,1023,10436,Capone -N- Noreaga,Closer,12,1997-11-01,NaN,Dolla
432,1024,10467,Craig Mack,What I Need,18,1997-11-08,NaN,White Lies
433,1026,10473,Rodney O,What U Gotta Say,24,1997-11-08,NaN,Guerilla Maab
434,1027,10474,D'Meka,Coast To Coast,25,1997-11-08,NaN,L.C
435,1029,10498,Fraze,Bounce Baby Bounce,24,1997-11-15,NaN,Da Hol' 9
436,1030,10511,E-A-Ski Featuring Montell Jordan,Showdown,12,1997-11-22,NaN,R. Kelly
437,1031,10543,Kinsu,Tha Hop,19,1997-11-29,NaN,Chief Keef
439,1035,10569,Shaqueen,Just Because,20,1997-12-06,NaN,Anita Baker
443,1044,10661,Militia,Burn,12,1998-01-03,NaN,Bo Burnham
444,1045,10681,Busta Rhymes,Dangerous,7,1998-01-10,NaN,Arctic Monkeys
445,1046,10719,Heat,Two Wrongs,20,1998-01-17,NaN,Black 'N Blue
446,1047,10750,LL Cool J,Father,1,1998-01-31,NaN,Father John Misty
447,1048,10754,Mase Featuring Total,What You Want,5,1998-01-31,NaN,Atmosphere
451,1055,10815,Sylk-E. Fyne Featuring Chill,Romeo And Juliet,16,1998-02-14,NaN,William Shakespeare
454,1061,10880,JD Featuring Da Brat,The Party Continues,6,1998-03-07,NaN,Friedrich Nietzsche
455,1062,10885,Queen Pen Featuring Eric Williams,All My Love,11,1998-03-07,NaN,House Of Pain
464,1078,11095,Mr. Money Loc Featuring Above The Law,Throw Yo Hood Up,21,1998-05-02,NaN,Baby D
465,1079,11147,Darq Age,Come & Get It,23,1998-05-16,NaN,Yummy Bingham
467,1081,11173,B.L.H.U.N.T.,Choke,24,1998-05-23,NaN,Dirt Nasty
469,1083,11206,John Forte,Ninety Nine [Flash The Message],7,1998-06-06,NaN,Billy Wilder
471,1085,11246,Players For Life,"Thisaway, Thataway (Hillside Anthem)",22,1998-06-13,NaN,NaN
475,1092,11320,Heather B.,Do You,21,1998-07-04,NaN,Mac Miller
478,1097,11379,Mase Featuring Puff Daddy,Lookin' At Me,5,1998-07-25,NaN,Trapo
479,1099,11394,General Grant,No Woman,20,1998-07-25,NaN,Gilberto Gil
480,1100,11415,"DJ Smurf Featuring DJ Taz, DJ Kizzy Rock And June Dog",Girls,16,1998-08-01,NaN,The Weeknd
481,1101,11423,P.A. (Parental Advisory),Like We Do,24,1998-08-01,NaN,Childish Gambino
487,1108,11515,Professor Griff,The Ole B#tch-U-Worryz,16,1998-08-29,NaN,NaN
489,1111,11554,"Tragedy, Capone, Infinite",'98 Thug Paradise,5,1998-09-12,NaN,Richard F. Burton
495,1120,11666,Dres,Pardon Me While I Come Back.,17,1998-10-10,NaN,Rapper Big Pooh
496,1121,11682,WC Featuring Jon B.,Better Days,8,1998-10-17,NaN,Lil Duke
497,1125,11712,Mag 7,The Street Mix,13,1998-10-24,NaN,Snoop Dogg
500,1129,11749,5CENT Featuring Sh'killa,Never Enough,25,1998-10-31,NaN,J Spades
502,1134,11790,A+,Enjoy Yourself,16,1998-11-14,NaN,Randy Newman
503,1135,11792,"DMX, Method Man, NAS, Ja Rule",The Grand Finale,18,1998-11-14,NaN,Lady
506,1138,11818,"Raise Up Click Feat. Coop, T.J., Money Mike, Lady D, Devious One",Pusher Man,19,1998-11-21,NaN,Fay Lovsky
507,1141,11844,Chuck Smooth,Who Let The Dogs Out?,20,1998-11-28,NaN,Hit-Boy
508,1142,11857,Nonchalant Featuring Rampage,Take It There,8,1998-12-05,NaN,JoJo
509,1143,11870,Method Man Featuring Streetlife,Judgement Day/Dangerous Grounds,21,1998-12-05,NaN,Joseph Conrad
511,1146,11874,Monie Featuring Kane & Abel,Get At Me,25,1998-12-05,NaN,​tpk
513,1148,11946,No Good-N-Jiggie Featuring Luke,Lizard-Lizard,22,1998-12-26,NaN,Chamillionaire
515,1153,12073,DJ S&S Featuring B.B.O.,Beat Of The Day (Throw Ya Hands Up),24,1999-01-30,NaN,JoJo
516,1154,12074,Raheem,"You Scared, You Scared/DJ Will U Please Play",25,1999-01-30,NaN,Gideon Lewis-Kraus
518,1156,12090,"Gold Featuring Layzie Bone, Menenski, Tee &  Halo",Free Your Mind,16,1999-02-06,NaN,MC Doja
520,1158,12120,B Da Outta Sight Child,Free & Single,21,1999-02-13,NaN,Jesse Atkinson
521,1160,12147,Infamous Syndicate,Here I Go,23,1999-02-20,NaN,Bow Wow
523,1162,12175,Silkk The Shocker Featuring Mystikal,It Ain't My Fault 2/Somebody Like Me,1,1999-03-06,NaN,2KNate
524,1163,12185,Juvenile,Ha,11,1999-03-06,NaN,Drake
525,1164,12194,Tony-O Featuring Kevin Gardner & Redwine,PhD. (Playa Hata Degree),20,1999-03-06,NaN,Howard Zinn
526,1165,12199,Tee Kee Featuring Da'imon,Every Thing I Want,25,1999-03-06,NaN,Albert Hammond
531,1172,12224,Psycho Vs. Iriscience,On Deadly Ground,25,1999-03-13,NaN,Abominant
533,1175,12270,C. Webb Featuring Kurupt,Gangsta! Gangsta! (How U Do It),21,1999-03-27,NaN,D.P.G.
539,1182,12345,Lil' Rachett Featuring LV,What G's Do 4 Money,21,1999-04-17,NaN,Criminalz
542,1185,12363,T.W.D.Y. Featuring Too Short & Mac Mall,Players Holiday,14,1999-04-24,NaN,Beastie Boys
545,1189,12420,"Missy ""Misdemeanor"" Elliott",She's A Bitch,21,1999-05-08,NaN,Kurt Cobain
546,1190,12458,MC Eiht,Automatic,9,1999-05-22,NaN,Semi
547,1191,12488,Black Dave,Big Mama (Go Big Girl),14,1999-05-29,NaN,Erykah Badu
549,1194,12521,40K Crew,Cold Feet,22,1999-06-05,NaN,Clams Casino
550,1195,12540,Rahzel,All I Know,16,1999-06-12,NaN,Chinx
551,1196,12541,"Intoxicated Featuring Sammy Sam, Baby D, B Real & Beezlee",Get'em,17,1999-06-12,NaN,Fredo Santana
552,1198,12543,Mozae,What We Be Bout,19,1999-06-12,NaN,Chance The Rapper
555,1201,12547,Loko Featuring Sammy Sam,Move,23,1999-06-12,NaN,Far East Movement
556,1202,12563,DJ S&S Featuring H.O.T.O.N.E.S.,Make It Hot,14,1999-06-19,NaN,Rufus Blaq
560,1208,12617,White Dawg,Restless,18,1999-07-03,NaN,Trae tha Truth
567,1216,12724,Tee Kee & Diamon Ra'mone,Freak With Me,25,1999-07-31,NaN,Heems
568,1219,12799,Large Professor And Neek The Exotic,Rhyme Mania `99,25,1999-08-21,NaN,Lil Wayne
570,1222,12817,T.W.D.Y.,Drinks On Me,18,1999-08-28,NaN,Nelson Freitas
571,1224,12846,Fifteen,Livin That Ghetto Life,22,1999-09-04,NaN,Boaz
573,1227,12876,Warren G Featuring Mack 10,I Want It All,2,1999-09-18,NaN,Birdman
576,1233,12918,Facez Of Death,Frontline,19,1999-09-25,NaN,Don Krez
578,1235,12934,U-God,Bizarre,10,1999-10-02,NaN,Bizarre
579,1236,12937,Flexx G. Featuring Kurupt And Alkatraz,Whole Lot Of Gangstas Die,13,1999-10-02,NaN,Atmosphere
580,1237,12967,LT. Stitchie Featuring Mad Lion,Ego Tripping,18,1999-10-09,NaN,Bliss n Eso
583,1243,13019,Mos Def,Ms. Fat Booty,20,1999-10-23,NaN,The Black Eyed Peas
585,1245,13028,Master P Featuring D.I.G.,Step To This,4,1999-10-30,NaN,2Pac
587,1247,13048,Juvenile Featuring Mannie Fresh & Lil' Wayne,Back That Thang Up,24,1999-10-30,NaN,Cold flamez
588,1250,13088,O,In The Game,14,1999-11-13,NaN,High School Musical Cast
589,1251,13096,Lil' Rachett,Lose Yo Mind,22,1999-11-13,NaN,Lil' Boosie And Webbie
591,1253,13116,Maurice Malone Presents Bullets And Gunsmoke,Ballaz 4 Life,17,1999-11-20,NaN,WhatRoughBeast
592,1254,13122,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",Hot Boyz,23,1999-11-20,NaN,Missy Elliott
593,1256,13149,Ike Jackson Presents Tom Paper,I'm Just A Bill,25,1999-11-27,NaN,MisterWives
596,1260,13219,Grandmaster Slice,Strokin' 2000,20,1999-12-18,NaN,H.R. 3590
597,1261,13222,Chuck Smooth,Bumpin' Uglies,23,1999-12-18,NaN,Louis Logic
602,1267,13370,Big Pope Featuring MC Breed,G.I. Streets,21,2000-01-29,NaN,Frank Lieberman
603,1268,13383,Miracle,Bounce,9,2000-02-05,NaN,Rittz
604,1269,13394,Rakim,When I B On Tha Mic,20,2000-02-05,NaN,Genius
605,1270,13397,Method Man & Redman,Y.O.U.,23,2000-02-05,NaN,Eminem
606,1271,13403,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,Best Friend,4,2000-02-12,NaN,Froggy Fresh
609,1276,13448,Champtown Introducing D'Phuzion,Bang Bang Boogie,24,2000-02-19,NaN,2Pac
610,1279,13461,LT. Stitchie Featuring Chevelle Franklyn,Mr. Lover,12,2000-02-26,NaN,Martin Luther King Jr
611,1282,13486,69 Boyz Featuring D.T. The Incredible Hulk,How We Roll,12,2000-03-04,NaN,Big Pun
612,1285,13537,Jay-Z,Anything/Big Pimpin',13,2000-03-18,NaN,Paris (Rapper)
614,1287,13565,Rah Digga Featuring Busta Rhymes,Imperial,16,2000-03-25,NaN,Franz Kafka
615,1288,13566,Da Fat Cat Clique Featuring May B,Fabulous,17,2000-03-25,NaN,Alan Menken
618,1291,13597,Beanie Sigel,The Truth,23,2000-04-01,NaN,Bei Maejor
621,1296,13691,Rasheeda Featuring Pastor Troy & Re Re,Do It,17,2000-04-29,NaN,Montell Jordan
622,1299,13740,Big Gank Featuring DJ Swamp,Me Without A Rhyme,16,2000-05-13,NaN,Slaughterhouse
623,1300,13770,Trig Featuring Funkadelic,We Are Family 2000,21,2000-05-20,NaN,David Mitchell
626,1305,13812,Lox Featuring Eve,Recognize,13,2000-06-03,NaN,Sam Sneed
628,1308,13826,Too $hort,2 B*tches,2,2000-06-10,NaN,Mavis
630,1310,13838,Midwest Mafia Featuring Phatty Banks,So Flossy,14,2000-06-10,NaN,Chingy
632,1313,13860,Jovishes,Get Buck,11,2000-06-17,NaN,Nick Heal
633,1315,13872,"Trick Daddy Featuring Duece Poppito, Trina, Co",Shut Up,23,2000-06-17,NaN,Marianas Trench
635,1321,13961,DJ Kool Featuring Fatman Scoop,It Takes Two,12,2000-07-15,NaN,Otis Redding
639,1329,14010,"Murda-1, Nittie, Lil Gangsta, Short, Heron, V.S.",Ball Ball,11,2000-07-29,NaN,Ballout
643,1337,14083,"Devyne Stephens ""The Entertainer""",Un-Huh,9,2000-08-19,NaN,50 Cent
644,1338,14118,Camara,Monet,19,2000-08-26,NaN,Rocco Hunt
645,1341,14139,"DJ Hurricane With Xzibit, Big Gipp and Pharoahe Monch",Connect,15,2000-09-02,NaN,Chedda Da Connect
646,1342,14142,Jahari,Come Ride With Me,18,2000-09-02,NaN,Tech N9ne
648,1344,14148,Busta Rhymes,Fire,24,2000-09-02,NaN,Ed Sheeran
652,1348,14216,D-Don Featuring Redman,And You Know That,17,2000-09-23,NaN,Tory Lanez
653,1349,14222,Talib Kweli & Hi-Tek,Move Somethin',23,2000-09-23,NaN,Aziz
654,1351,14240,Mos Def Featuring Ghostface Killah,Ms. Fat Booty 2,16,2000-09-30,NaN,Stephen the Levite
656,1353,14265,Self,Fire It Up,16,2000-10-07,NaN,Busta Rhymes
657,1354,14272,The Pharcyde,Trust,23,2000-10-07,NaN,Bryson Tiller
659,1356,14303,Slimm Calhoun Featuring Andre 3000,It's OK,4,2000-10-21,NaN,ITSOKTOCRY
660,1357,14312,Suicide,Big Doe,13,2000-10-21,NaN,Sean Steel
661,1359,14348,Sylk-E. Fyne Featuring Snoop Dogg & Bizzy Bone,Ya Style,24,2000-10-28,NaN,Lloyd Banks
663,1368,14466,Prodigy,Keep It Thoro,17,2000-12-02,NaN,Joey Purp
668,1374,14507,Sunni Black Featuring Mother Superia,No! No! No!,8,2000-12-16,NaN,Margaret Thatcher
669,1375,14509,D12,$#!* On You,10,2000-12-16,NaN,Will Is Chillin'
672,1378,14526,Mos Def & Pharoahe Monch Featuring Nate Dogg,Oh No,2,2000-12-23,NaN,OHNOFromLa
673,1379,14534,Darkside Ballaz Featuring Twista,Peace Of Mind,10,2000-12-23,NaN,Apollo Charles
677,1384,14570,Legend,You Don't Hear Me Though,21,2000-12-30,NaN,Young Bleed
678,1387,14646,4th Avenue Jones',R.E.S.P.E.C.T.,22,2001-01-20,NaN,Travis Scott
679,1388,14647,Black Miss,Loud And Clear,23,2001-01-20,NaN,Above The Golden State
680,1392,14669,Track Squad,Poke It Out!,20,2001-01-27,NaN,TYuS
683,1396,14702,Papa Seville,The Wood,3,2001-02-10,NaN,Stephen Sondheim
684,1398,14766,Domino Featuring Diamonique,Like That,17,2001-02-24,NaN,Travis Porter
685,1401,14798,Memphis Bleek Featuring Jay-Z,Do My...,24,2001-03-03,NaN,Chris Webby
686,1402,14799,Phenomenon,Tha Rodeo,25,2001-03-03,NaN,Author Unknown
687,1404,14838,"Missy ""Misdemeanor"" Elliott",Get Ur Freak On,14,2001-03-17,NaN,Kiley Dean
688,1406,14844,Kodiak,Cash Burns Fast,20,2001-03-17,NaN,ROME
691,1409,14871,Lady Saw & Marsha,Son Of A B!t<h,22,2001-03-24,NaN,Michel de Montaigne
694,1413,14913,Caponiac,Da B.O.M.B.,14,2001-04-07,NaN,MZ
695,1414,14920,Low Life Organization,Mind Throbbin,21,2001-04-07,NaN,Katy B
697,1416,14939,812 Souljaz Featuring Whoo Whee,Did That!,15,2001-04-14,NaN,Ca$h Out
698,1417,14941,"Shamus, Flu, Karachi-Raw, Skar & Maximillan",What Side You On,17,2001-04-14,NaN,Goodie Mob
699,1418,14968,J.A.G. Featuring Cameo And Raa'k,Bomb Bomb Girl,19,2001-04-21,NaN,Desmond Dekker & The Aces
700,1420,15023,Angie Martinez,Dem Thangs,24,2001-05-05,NaN,Hot Boys
701,1421,15024,Ja Rule Featuring Lil' Mo,I Cry,25,2001-05-05,NaN,2Pac
704,1424,15028,Bigga Figgaz,Who's Gonna Love Ya',4,2001-05-12,NaN,Heavy D
705,1425,15029,Shaggy Featuring Rayvon,Angel,5,2001-05-12,NaN,Lupe Fiasco
707,1427,15040,The Young Millionaires Featuring Lil' One -- The Young Millionairess,All I Wanna Do,16,2001-05-12,NaN,Lunasicc (Luni Coleone)
708,1428,15046,Foxy Brown,B.K. Anthem/Oh Yeah,22,2001-05-12,NaN,NaN
709,1429,15050,Lil' Romeo,My Baby,1,2001-05-19,NaN,Mac DeMarco
711,1431,15074,"Missy ""Misdemeanor"" Elliott",Lick Shots,25,2001-05-19,NaN,The Notorious B.I.G.
712,1432,15092,Screwball Featuring M.O.P.,Torture,18,2001-05-26,NaN,Aaron Rose
715,1440,15192,Violator Featuring Busta Rhymes,What It Is,18,2001-06-23,NaN,Pharoahe Monch
716,1442,15204,Erick Sermon Featuring Marvin Gaye,Music,5,2001-06-30,NaN,Booba
718,1446,15253,Da Beatminerz Featuring Flipmode Squad & Vinia Mojica,Take That,4,2001-07-14,NaN,Take That
720,1448,15289,"P. Diddy, Black Rob & Mark Curry",Bad Boy For Life,15,2001-07-21,NaN,G-Dep
721,1449,15293,Rising Son,Make It Vibrate,19,2001-07-21,NaN,BLAKE FADES
723,1451,15339,Ampichino Featuring Yuk Mouth,Do Tha Damn Thang,15,2001-08-04,NaN,Two-9
724,1452,15344,Chino Nino,Smash Out,20,2001-08-04,NaN,Lil Durk
725,1453,15346,"D&D Allstars Featuring Big Daddy KAne, Sadat-X, Guru, Greg Nice",Hot Sh!t,22,2001-08-04,NaN,Icee Mack
726,1454,15347,DJ Design Featuring Madlib And Quasimo,Sparkadala,23,2001-08-04,NaN,Sparkadia
727,1456,15356,TaTa + Brando Featuring Larry Poteat Of The Donz,Let's Be Friends,7,2001-08-11,NaN,Tela
728,1457,15357,Young Phantom,All My Thugs,8,2001-08-11,NaN,Lil Jon & The East Side Boyz
729,1459,15388,Tha Liks,Best U Can,14,2001-08-18,NaN,Rehab
731,1461,15394,Ayatollah Featuring Tek Of The Cocoa Brovaz,All Massive,20,2001-08-18,NaN,Gyptian
734,1464,15420,Drunken Master Featuring Lola Damone,50 Playaz Deep,21,2001-08-25,NaN,Eminem
736,1466,15424,Joey Chavez Presents The Original Structure Featuring Iriscience,Live,25,2001-08-25,NaN,2Pac
738,1468,15448,Bumpy Knuckles,The Lah,24,2001-09-01,NaN,Quasimoto
739,1469,15449,Kool Keith,Thug Or What?,25,2001-09-01,NaN,The Allied Powers
740,1470,15456,The Young Millionaires,Grippin Grain,7,2001-09-08,NaN,Bun B
741,1471,15459,Foxy Brown Featuring Kelis,Candy,10,2001-09-08,NaN,Chance The Rapper
744,1475,15485,Jailbird,Trunk Fall Off,11,2001-09-15,NaN,Korn
745,1476,15487,Bubba Sparxxx,Ugly,13,2001-09-15,NaN,Lil Ugly Mane
746,1477,15496,Psycster,Can't Take It No More,22,2001-09-15,NaN,Phora
747,1478,15499,Empty Mynd,Funk,25,2001-09-15,NaN,Funk Volume
748,1479,15511,John Got'ti,Cut Throat,12,2001-09-22,NaN,The Cutthroats
749,1481,15527,Big Lew BKA Popeye Reds Featuring Nonchalant,How We Do,3,2001-09-29,NaN,Eric Bellinger
750,1482,15528,Dennis Da Menace,Buster,4,2001-09-29,NaN,The Coup (USA)
751,1483,15530,Original P Introducing Hyped Up Westbound Soljaz,Jump Up In The Air,6,2001-09-29,NaN,Faydee
755,1489,15579,Dena Cali,I'm Your Girl,5,2001-10-13,NaN,FKA twigs
756,1491,15598,Chocolate Bandit,Gotta Have It,24,2001-10-13,NaN,RGItalia Translations
757,1492,15604,Won-G Featuring DJ Quik,Nothing's Wrong,5,2001-10-20,NaN,Patrick Park
758,1494,15609,Baby S,I'm Ghetto,10,2001-10-20,NaN,Kollegah
759,1496,15621,Kool G Rap Featuring G Wise,My Life,22,2001-10-20,NaN,Gucci Mane
762,1500,15643,Sherm Featuring Bigga Figgas,Get Mo,19,2001-10-27,NaN,YG
763,1501,15649,P. Diddy Featuring The Neptunes,Diddy,25,2001-10-27,NaN,Puff Daddy
764,1502,15656,Phatty Banks Presents Club Drama,The Bedrock,7,2001-11-03,NaN,Tech N9ne
765,1503,15698,Boobakaw And Tha Wild Younginz Featuring Vita,Rock Em,24,2001-11-10,NaN,Mack Maine
766,1504,15699,"Rayvon Featuring Shaggy, Ricardo ""Rik Rok"" Ducent, Brian & Tony Gold",2-Way,25,2001-11-10,NaN,Jeff Wayne
768,1506,15707,Minott Featuring Kurupted Seed,Playa Playa (Playing The Game Right),8,2001-11-17,NaN,Professor P & DJ Akilles
769,1507,15711,Strik 9ine,Dansin Wit Wolvez,12,2001-11-17,NaN,Marcel Proust
772,1512,15749,Jonell & Method Man,Round And Round,25,2001-11-24,NaN,Charli XCX
773,1513,15754,The Rawlo Boys Featuring T.O.R.O. & Lil' Smoke,Ain't Nobody (We Got It Locked!),5,2001-12-01,NaN,A.J. Crew
774,1517,15815,Bear Witnez!,Can I Get That?!!?,16,2001-12-15,NaN,Soulja Boy
775,1519,15829,Method Man & Redman,Part II,5,2001-12-22,NaN,Big Sean
776,1520,15898,Pretty Willie,Roll Wit Me,24,2002-01-05,NaN,Group Home Gangstas (GHG)
778,1522,15944,Skip Featuring Corey C,Pimps/Players,20,2002-01-19,NaN,Greydon Square
780,1528,16041,"D&D Allstars Featuring A.G., Ruck, Jimmy Grand",How It Soundz,17,2002-02-16,NaN,Wiz Khalifa
783,1532,16070,Lil Bow Wow Featuring Jagged Edge & Fundisha,Thank You,21,2002-02-23,NaN,G-Eazy
785,1534,16082,Willie D,Dear God,8,2002-03-02,NaN,Morrissey
786,1535,16084,Busta Rhymes Featuring P. Diddy & Pharrell,Pass The Courvoisier Part II,10,2002-03-02,NaN,N.O.T.S.
787,1536,16090,"Ja Rule Featuring Charli ""Chuck"" Baltimore",Down A** Chick,16,2002-03-02,NaN,J. R. R. Tolkien
788,1537,16091,Twin And Alchemist,Different Worlds,17,2002-03-02,NaN,DENARD DAPOET
790,1539,16112,"Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott",Knoc,13,2002-03-09,NaN,Speaker Knockerz
792,1541,16135,Levert Agee Featuring Mr. Low Down & Evol,Stop Playin',11,2002-03-16,NaN,8Ball
795,1545,16180,Beelow,Do Ya Thang Girl,6,2002-03-30,NaN,Chris Brown
796,1547,16198,Cee-Lo,Closet Freak,24,2002-03-30,NaN,Khary Durgans
797,1548,16209,Lil' Ru,Will Destroy,10,2002-04-06,NaN,This Will Destroy You
798,1549,16210,Green Eyez,"Mama's Baby, Poppa's Maybe",11,2002-04-06,NaN,J.ReaL Hip Hop
799,1550,16211,P-Lo Featuring Lil Ru & T. Supreme,Shawty,12,2002-04-06,NaN,BeYoOwnBoss
801,1552,16243,GZA/Genius,Fame,19,2002-04-13,NaN,2Pac
802,1553,16245,Cam'Ron Featuring Juelz Santana,Oh Boy/The Roc (Just Fire),21,2002-04-13,NaN,Seinfeld
803,1554,16272,Big Logic,Hyde Ha,23,2002-04-20,NaN,Alexis & Fido
804,1556,16292,P. Diddy Featuring Usher & Loon,I Need A Girl (Part One),18,2002-04-27,NaN,Wiki345662
805,1558,16308,Rozelly Presents Da Fam Featuring Skubie Tha Ciko And Unique,Bang My Hit,9,2002-05-04,NaN,Junot Díaz
806,1560,16342,Won-G Featuring Da Brat,Put It Inside,18,2002-05-11,NaN,Guerilla Maab
809,1564,16379,N.O.R.E.,Nothin',5,2002-05-25,NaN,J. Cole
810,1566,16391,Mr. Cheeks Featuring Horace Brown,Friday Night,17,2002-05-25,NaN,Teenear
812,1568,16411,Dem Ghetto Playa$,Ghetto Millionaire,12,2002-06-01,NaN,C-Murder
813,1570,16423,"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",I Need A Girl (Part Two),24,2002-06-01,NaN,Click (Rap)
816,1576,16446,Ludacris Featuring Mystikal & Infamous 2.0,Move B***h,22,2002-06-08,NaN,CASisDEAD
821,1583,16523,Styles,Good Times,24,2002-06-29,NaN,GRiZ & Big Gigantic
831,1598,16774,Bone Thugs-N-Harmony Featuring 3LW,Get Up & Get It,25,2002-09-07,NaN,Skepta
832,1599,16796,"Missy ""Misdemeanor"" Elliott",Work It,22,2002-09-14,NaN,Vinny Cha$e
835,1603,16874,Ying Yang Twins Featuring Mr. Ball,By Myself,25,2002-10-05,NaN,Céline Dion
841,1614,17048,Baby Featuring P. Diddy,Do That...,24,2002-11-23,NaN,Oliver
843,1620,17123,LL Cool J Featuring Amerie,Paradise,24,2002-12-14,NaN,Benny Benassi
845,1623,17172,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",Gossip Folks,23,2002-12-28,NaN,PE
846,1624,17173,Smilez & Southstar,Tell Me (What's Goin' On),24,2002-12-28,NaN,Danny!
850,1629,17274,The Notorious B.I.G. & 50 Cent,Realest N*ggas,25,2003-01-25,NaN,MayneSwag
852,1632,17322,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,Beautiful,23,2003-02-08,NaN,Empire Cast
859,1642,17495,Fat Joe Featuring Tony Sunshine & Armageddon,All I Need,21,2003-03-29,NaN,Hollyn
862,1649,17596,"Missy ""Misdemeanor"" Elliott",P***ycat,22,2003-04-26,NaN,P. Stunna
871,1666,17847,Young Gunz,"Can't Stop, Won't Stop",23,2003-07-05,NaN,The LOX
873,1670,17922,Busta Rhymes,Light Your A** On Fire,23,2003-07-26,NaN,Peter Doherty
874,1671,17947,YoungBloodZ Featuring Lil Jon,Damn!,23,2003-08-02,NaN,Yonas
877,1679,18099,213,Fly,25,2003-09-13,NaN,Nicki Minaj
882,1688,18218,Tupac Featuring The Notorious B.I.G.,Runnin (Dying To Live),19,2003-10-18,NaN,J-$killz
888,1699,18399,Too Short Featuring Lil Jon & The East Side Boyz,Shake That Monkey,25,2003-12-06,NaN,Martin Page
889,1700,18447,Cassidy Featuring R. Kelly,Hotel,23,2003-12-20,NaN,SPOOKY BLACK
892,1706,18521,Juvenile Featuring Mannie Fresh,In My Life,22,2004-01-10,NaN,Gunplay
894,1711,18597,Young Gunz Featuring Rell,No Better Love,23,2004-01-31,NaN,Asaad (Saudi Money)
897,1716,18674,Tupac With Eminem Featuring The Outlawz,One Day At A Time,25,2004-02-21,NaN,Polly Cutter
898,1717,18698,Beenie Man Featuring Ms. Thing,Dude,24,2004-02-28,NaN,Jessie J
904,1729,18946,Lloyd Banks,On Fire,22,2004-05-08,NaN,Shy Glizzy
909,1737,19037,Mase,Welcome Back,13,2004-06-05,NaN,IamSu!
917,1751,19298,Shawnna Featuring Ludacris,Shake That Sh**,24,2004-08-14,NaN,Farmers Market
918,1753,19341,Mase Featuring P. Diddy,"Breathe, Stretch, Shake",17,2004-08-28,NaN,The Pack
919,1755,19372,Guerilla Black Featuring Beenie Man,Compton,23,2004-09-04,NaN,Compton's Most Wanted
921,1758,19397,J-Kwon Featuring Sadiyyah,You & Me,23,2004-09-11,NaN,Method Man & Redman
922,1759,19399,Dem Franchize Boyz,White Tee's,25,2004-09-11,NaN,Cro
935,1781,19666,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,Lovers & Friends,17,2004-11-27,NaN,Jaymay
937,1785,19774,Guerilla Black Featuring Mario Winans,You're The One,25,2004-12-25,NaN,The Black Keys
938,1789,19872,Fabolous Featuring Mike Shorey,Baby,23,2005-01-22,NaN,Vanilla Ice
939,1790,19873,NB Ridaz,Pretty Girl,24,2005-01-22,NaN,The Smiths
954,1817,20347,Game,Dreams,23,2005-06-04,NaN,Meek Mill
956,1820,20398,Daddy Yankee,Like You,24,2005-06-18,NaN,Little Mix
958,1824,20472,Common,Go!,23,2005-07-09,NaN,A$AP Ferg
959,1826,20492,Ying Yang Twins Featuring Mike Jones & Mr. ColliPark,Badd,18,2005-07-16,NaN,Kevin Gates
