,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics
90,203,1918,Yo-Yo Featuring Ice Cube,You Can't Play With My Yo-Yo,19,1991-04-20,
91,204,1921,Run-D.M.C.,Faces,22,1991-04-20,
92,205,1922,ARB,Crank It Up,23,1991-04-20,
93,207,1943,The Genius,Come Do Me,19,1991-04-27,
94,208,1970,Terminator X,Homey Don't Play Dat,21,1991-05-04,
95,209,1972,Hansoul,Imagination,23,1991-05-04,
96,211,1974,K-9 Posse,Get Wild Go Crazy,25,1991-05-04,
97,212,1992,Kool Moe Dee Feat. KRS-One & Chuck D,Rise 'N' Shine,18,1991-05-11,
98,214,1998,Craig-G,U-R-Not The 1,24,1991-05-11,
99,215,2023,L.A. Posse,Countdown,24,1991-05-18,
100,216,2044,MC Sway & DJ King Tech,Follow 4 Now,20,1991-05-25,
101,217,2049,Fonke Socialistiks,You Are My Heaven,25,1991-05-25,
102,218,2066,Larry Larr,"Larry, That's What They Call Me",17,1991-06-01,
103,222,2074,Definition Of Sound,Now Is Tomorrow,25,1991-06-01,
104,226,2124,Buffalo Soldiers,Playing Your Game,25,1991-06-15,
105,229,2147,The Dogs Feat. Disco Rick,Do The Nasty Dance,23,1991-06-22,
106,232,2172,Grandaddy I.U.,Sugar Free,23,1991-06-29,
107,236,2196,Rodney O & Joe Cooley,Get Ready To Roll,22,1991-07-06,
108,237,2197,Son Of Bazerk,"Bang (Get Down, Get Down)",23,1991-07-06,
109,241,2224,Jibri Wise One,The House The Dog Built,25,1991-07-13,
110,244,2272,Redhead Kingpin,It's A Love Thang,23,1991-07-27,
111,245,2273,Fifth Platoon,Party Line,24,1991-07-27,
112,246,2298,Greyson & Jason,Get Bizzy,24,1991-08-03,
113,247,2299,"Sam ""The Beast""",Knock Some Boots,25,1991-08-03,
114,248,2316,T.C.F.,If You Wanna Sex Me Up,17,1991-08-10,
115,250,2324,Young Black Teenagers,Loud And Hard To Hit,25,1991-08-10,
116,252,2344,Tim Dog,F-ck Compton,20,1991-08-17,
117,254,2347,Justin Warfield,Season Of The Vic,23,1991-08-17,
118,256,2367,Yo-Yo,Ain't Nobody Better,18,1991-08-24,
119,257,2372,Larry Larr,Confused,23,1991-08-24,
120,258,2399,Oaktown's 3.5.7,Turn It Up,25,1991-08-31,
121,263,2449,2 Kings In A Cipher,Definition Of A King,25,1991-09-14,
122,266,2473,Def Jef,Here We Go Again,24,1991-09-21,
123,267,2492,H.E.A.L.,Heal Yourself,18,1991-09-28,
124,268,2494,UMC's,Blue Cheese,20,1991-09-28,
125,269,2495,The Jaz,A Groove (This Is What U Rap 2),21,1991-09-28,
126,272,2520,Yomo & Maulkie,Glory,21,1991-10-05,
127,274,2524,The 2 Live Crew,Pop That Coochie,25,1991-10-05,
128,278,2574,F.S. Effect,I Wanna B Ure Lover,25,1991-10-19,
129,280,2594,D.J. Magic Mike & Madness,You Want Bass,20,1991-10-26,
130,289,2696,Candyman,1-800-Sky-Talk PIN #110279,22,1991-11-23,
131,290,2698,Poor Righteous Teachers,Shakiyla (JRH),24,1991-11-23,
132,291,2718,Jibri Wise One,I'll Be There For You,19,1991-11-30,
133,296,2746,Marky Mark & The Funky Bunch,Wildside,22,1991-12-07,
134,303,2873,Redhead Kingpin & The F.B.I.,Nice & Slow,24,1992-01-11,
135,304,2874,D.J. Magic Mike & M.C. Madness,Dynamic Duo,25,1992-01-11,
136,311,2923,D-Nice,Time To Flow,24,1992-01-25,
137,320,3015,Shabba Ranks Featuring KRS-1,The Jam,16,1992-02-22,
138,326,3071,True Culture,"It's So Good, It's Bad",22,1992-03-07,
139,327,3096,UMC's,One To Grow On,22,1992-03-14,
140,332,3146,Chi-Ali,Age Ain't Nothin' But A #,22,1992-03-28,
141,334,3172,Hen G & Evil E,If You Were Mine,23,1992-04-04,
142,336,3195,The College Boyz,Victim Of The Ghetto,21,1992-04-11,
143,338,3198,Lil' Shawn,Hickeys On Your Chest,24,1992-04-11,
144,342,3224,Ghetto Girlz,My Man's Playing Tricks On Me,25,1992-04-18,
145,345,3249,Sister Souljah,The Hate That Hate Produced,25,1992-04-25,
146,348,3296,BDP,13 And Good,22,1992-05-09,
147,350,3321,Dr. Dre Introducing Snoop Doggy Dogg,Deep Cover,22,1992-05-16,
148,351,3322,Doug E. Fresh,Bustin' Out (On Funk),23,1992-05-16,
149,352,3323,Hi-C Featuring Tony A,Sitting In The Park,24,1992-05-16,
150,354,3348,Sylk Smoov,Trick Wit A Good Rap,24,1992-05-23,
151,355,3349,The Future Sound,Lady/What's A Bro To Do?,25,1992-05-23,
152,356,3374,Keith Sweat Feat. L.L. Cool J,Why Me Baby? (Pt. 2),25,1992-05-30,
153,357,3393,Heavy D & The Boyz,Don't Curse/You Can't See What I See,19,1992-06-06,
154,358,3397,Penthouse Players Clique,Explanation Of A Playa,23,1992-06-06,
155,359,3398,M.C. Brains,Everybody's Talking About M.C. Brains,24,1992-06-06,
156,361,3424,Kid Frost,No Sunshine,25,1992-06-13,
157,365,3472,Kwame,Nastee,23,1992-06-27,
158,366,3474,M.C. Breed,Ain't To Be F...ed With,25,1992-06-27,
159,374,3568,Kid Frost,Thin Line,19,1992-07-25,
160,378,3594,Monie Love,"Full Term Love (From ""Class Act"")",20,1992-08-01,
161,380,3598,K-Solo,I Can't Hold Back,24,1992-08-01,
162,387,3647,Raheem,5th Ward,23,1992-08-15,
163,388,3668,Grand Puba,360 Degrees (What Goes Around),19,1992-08-22,
164,390,3672,The College Boyz,Hollywood Paradox,23,1992-08-22,
165,391,3674,Ho Frat Ho!,Ho Frat Swing,25,1992-08-22,
166,393,3698,M.C. Brains,Brainstorming/G-String,24,1992-08-29,
167,394,3720,MC Serch,Here It Comes/Back To The Grill,21,1992-09-05,
168,395,3723,Luke,Breakdown,24,1992-09-05,
169,397,3748,Double XX,Head Cracker,24,1992-09-12,
170,398,3749,Highland Place Mobsters,Let's Get Naked,25,1992-09-12,
171,400,3772,Zhigge,Toss It Up,23,1992-09-19,
172,401,3773,Brothers Uv Da Blakmarket,Livin' In Da Bottle,24,1992-09-19,
173,404,3798,Nice & Smooth,Cake & Eat It Too,24,1992-09-26,
174,409,3845,Diamond & Psychotic Neurotics,Best Kept Secret,21,1992-10-10,
175,411,3848,Prince Markie Dee & Soul Convention,Trippin' Out,24,1992-10-10,
176,419,3899,Double XX,Not Gonna Be Able To Do It,25,1992-10-24,
177,421,3946,Common Sense,Take It Ez,22,1992-11-07,
178,422,3948,Mad Cobra,Flex,24,1992-11-07,
179,423,3949,Home Team,Pick It Up,25,1992-11-07,
180,424,3973,BDP,We In There,24,1992-11-14,
181,425,3974,The College Boyz,Humpin',25,1992-11-14,
182,426,3996,Ice Cube,Wicked,22,1992-11-21,
183,435,4072,Miles Davis,Fantasy,23,1992-12-12,
