2195,Fifth Platoon
2196,Larry Larr
2236,Rodney O & Joe Cooley
2241,Young Black Teenagers
2256,Big Daddy Kane
2260,Son Of Bazerk
2261,Justin Warfield
2262,Rodney O & Joe Cooley
2281,3rd Bass
2285,Rodney O & Joe Cooley
2305,Larry Larr
2327,Nice & Smooth
2346,Hi-C
2348,Latin Alliance
2349,LL Cool J
2365,Oaktown's 3.5.7
2367,Redhead Kingpin
2368,Salt-N-Pepa
2388,Hi-C
2389,Def Jef
2405,Def Jef
2408,Jibri Wise One
2409,Above The Law
2410,The 2 Live Crew
2421,Salt-N-Pepa
2424,Latin Alliance
2429,Def Jef
2431,Queen Latifah
2439,Public Enemy
2468,Queen Latifah
2470,Cypress Hill
2471,Def Jef
2472,Marley Marl
2473,Yo-Yo
2490,Queen Latifah
2491,Above The Law
2513,Digital Underground
2515,D-Nice
2533,Nice & Smooth
2535,Digital Underground
2537,D-Nice
2538,Def Jef
2560,D-Nice
2562,Def Jef
2581,Black Sheep
2585,Salt-N-Pepa
2605,Big Daddy Kane
2606,M.C. Hammer
2608,Naughty By Nature
2610,Yomo & Maulkie
2634,Naughty By Nature
2656,MC Lyte
2701,Geto Boys
2703,The 2 Live Crew
2724,A Tribe Called Quest
2743,Public Enemy
2746,Heavy D & The Boyz
2747,Del The Funky Homosapien
2749,Geto Boys
2766,Naughty By Nature
2770,Public Enemy
2771,D-Nice
2791,D-Nice
2793,Eric B. & Rakim
2796,A Tribe Called Quest
2815,Eric B. & Rakim
2839,Sir Mix-A-Lot
2840,Fu-Schnickens
2841,Eric B. & Rakim
2843,Lord Finesse
2844,Jibri Wise One
2860,Fu-Schnickens
2866,Brand Nubian
2890,A Tribe Called Quest
2892,Eric B. & Rakim
2912,Luke
2913,True Culture
2914,AMG
2938,True Culture
2959,Cypress Hill
2961,True Culture
2983,2Pac
2984,Chi-Ali
2985,Lord Finesse
3009,Das EFX
3010,Sir Mix-A-Lot
3026,Arrested Development
3031,Naughty By Nature
3033,Lil' Shawn
3034,Del The Funky Homosapien
3054,MC Lyte
3056,Black Sheep
3058,Ghetto Girlz
3079,Ghetto Girlz
3080,M.C. Brains
3082,Sister Souljah
3102,Public Enemy
3105,Ghetto Girlz
3126,Shabba Ranks Featuring KRS-1
3128,Sister Souljah
3151,Dr. Dre Introducing Snoop Doggy Dogg
3152,Doug E. Fresh
3153,Hi-C Featuring Tony A
3154,AMG
3174,Fu-Schnickens
3178,Sylk Smoov
3179,The Future Sound
3204,Keith Sweat Feat. L.L. Cool J
3223,Heavy D & The Boyz
3227,Penthouse Players Clique
3228,M.C. Brains
3253,Black Sheep
3254,Kid Frost
3275,Organized Konfusion
3279,Tim Dog
3295,Kris Kross
3302,Kwame
3304,M.C. Breed
3325,Yo-Yo
3328,Ultramagnetic MC's
3341,Eric B. & Rakim
3351,Main Source
3352,House Of Pain
3354,Too $hort
3378,N2Deep
3398,Kid Frost
3403,Spice 1
3404,Chi-Ali
3423,EPMD
3424,Monie Love
3426,DJ Quik
3428,K-Solo
3429,Beastie Boys
3450,Super Cat
3452,A.D.O.R.
3473,Das EFX
3474,Miles Davis
3476,XClan
3477,Raheem
3498,Grand Puba
3499,Da Youngsta's
3502,The College Boyz
3504,Ho Frat Ho!
3516,Arrested Development
3528,M.C. Brains
3550,MC Serch
3553,Luke
3574,Bushwick Bill
3578,Double XX
3579,Highland Place Mobsters
3597,Gang Starr
3602,Zhigge
3603,Brothers Uv Da Blakmarket
3604,M.C. Breed
3625,Redman
3628,Nice & Smooth
3646,Chubb Rock
3652,Willie D
3653,MC Ren
3668,Wreckx-N-Effect
3675,Brothers Uv Da Blakmarket
